title,Fdc1 @ 350 K,,,,,,,
plot_type,multi-line,,,,,,,
x_label,Time (ns),,,,,,,
y_label,Secondary structure (%),,,,,,,
x_unit,ns,,,,,,,
y_unit,%,,,,,,,
color,#000000,#FD5200,#0000FF,#FF8000,#68D2FB,#000080,#009F00,#800080
label,None,Parallel Beta-sheet,Anti Beta-sheet,3-10 helix,Alpha helix,Pi(3-14) helix,Turn,Bend
axis_x,axis_y,axis_y,axis_y,axis_y,axis_y,axis_y,axis_y,axis_y
0.144,0.24852,0.06114,0.13708,0.03649,0.22091,0.00493,0.13708,0.15779
0.146,0.24753,0.0572,0.13609,0.03452,0.22387,0.00493,0.14793,0.15187
0.148,0.2426,0.05523,0.143,0.0355,0.22189,0,0.15779,0.14793
0.15,0.25247,0.0572,0.13412,0.02959,0.22781,0,0.16075,0.14201
0.152,0.24753,0.06213,0.13511,0.03452,0.22485,0,0.143,0.1568
0.154,0.2288,0.06607,0.13807,0.04043,0.22189,0,0.1499,0.15878
0.156,0.24359,0.06016,0.14201,0.03254,0.2357,0,0.14004,0.1499
0.158,0.23866,0.06016,0.14103,0.0355,0.23176,0,0.1499,0.14694
0.16,0.24556,0.06016,0.13511,0.03945,0.21992,0,0.14892,0.15483
0.162,0.24359,0.06706,0.13511,0.03353,0.23077,0,0.15089,0.143
0.164,0.25148,0.06312,0.12722,0.02959,0.22584,0,0.16371,0.143
0.166,0.24162,0.06016,0.14398,0.04536,0.22387,0,0.14694,0.14201
0.168,0.23077,0.06312,0.143,0.0355,0.22288,0,0.15582,0.15286
0.17,0.2357,0.06213,0.13905,0.04438,0.21893,0,0.143,0.16075
0.172,0.23471,0.06213,0.13511,0.03649,0.22091,0,0.16174,0.15286
0.174,0.23964,0.05819,0.13905,0.04142,0.22288,0,0.13905,0.16371
0.176,0.2426,0.0572,0.13609,0.04339,0.22387,0,0.15582,0.14497
0.178,0.24852,0.05621,0.13412,0.0286,0.22584,0,0.16371,0.14694
0.18,0.24753,0.0572,0.13314,0.03254,0.21992,0.00493,0.1568,0.15187
0.182,0.24359,0.05325,0.13412,0.02761,0.23471,0,0.15483,0.15582
0.184,0.23964,0.05819,0.13708,0.02564,0.22978,0,0.15779,0.15582
0.186,0.25049,0.05523,0.13807,0.02959,0.22584,0,0.15089,0.15385
0.188,0.24063,0.05424,0.14103,0.03748,0.22189,0,0.15187,0.1568
0.19,0.2357,0.06213,0.13905,0.03846,0.2288,0,0.14793,0.15187
0.192,0.24655,0.05917,0.13807,0.0355,0.22288,0.00493,0.13807,0.15878
0.194,0.23767,0.06016,0.13708,0.02959,0.21795,0,0.16371,0.15779
0.196,0.25247,0.04931,0.13609,0.04043,0.22189,0,0.15187,0.15187
0.198,0.23669,0.06312,0.13905,0.04241,0.21598,0,0.1568,0.1499
0.2,0.2426,0.05621,0.13905,0.03452,0.22288,0,0.15483,0.15385
0.202,0.2357,0.0641,0.13708,0.01775,0.22387,0,0.16864,0.1568
0.204,0.23471,0.0641,0.13708,0.04241,0.21006,0,0.15582,0.15976
0.206,0.24556,0.05523,0.14201,0.03057,0.22387,0,0.15286,0.15385
0.208,0.23373,0.0641,0.13807,0.04142,0.23077,0,0.13708,0.15878
0.21,0.24655,0.06016,0.13215,0.04043,0.21006,0,0.16864,0.14596
0.212,0.24458,0.05917,0.13511,0.03452,0.21893,0.00493,0.1568,0.1499
0.214,0.24162,0.06213,0.13116,0.04043,0.22978,0.00493,0.13708,0.1568
0.216,0.24359,0.05819,0.13708,0.03945,0.22584,0,0.14596,0.15385
0.218,0.23471,0.06016,0.14004,0.03353,0.2288,0.00493,0.13708,0.16469
0.22,0.26726,0.05424,0.13314,0.03156,0.23077,0,0.143,0.14398
0.222,0.24458,0.06213,0.14004,0.03748,0.22387,0.00493,0.15187,0.13905
0.224,0.24162,0.06114,0.13708,0.04339,0.21598,0,0.15976,0.14497
0.226,0.24162,0.06312,0.13609,0.03156,0.22485,0.00493,0.14892,0.15286
0.228,0.24359,0.06016,0.13609,0.04043,0.22189,0.00493,0.14201,0.15483
0.23,0.24063,0.06114,0.13807,0.04142,0.21203,0,0.16568,0.14497
0.232,0.24359,0.06213,0.13511,0.03846,0.22189,0,0.15385,0.14892
0.234,0.23471,0.06016,0.13905,0.04339,0.21992,0,0.15483,0.15187
0.236,0.25049,0.06312,0.13116,0.03057,0.21203,0,0.16765,0.14892
0.238,0.24655,0.06114,0.13314,0.03353,0.21499,0,0.16371,0.15089
0.24,0.24951,0.06016,0.13412,0.03748,0.22189,0.00493,0.15385,0.14201
0.242,0.23964,0.05819,0.14398,0.04339,0.21203,0,0.15286,0.15385
0.244,0.24063,0.06114,0.12919,0.04142,0.21893,0.00493,0.14497,0.16272
0.246,0.23471,0.06114,0.14497,0.03748,0.214,0.00493,0.16272,0.14398
0.248,0.24458,0.06114,0.13708,0.03452,0.214,0.00493,0.16075,0.14694
0.25,0.24458,0.06114,0.13905,0.03846,0.21696,0,0.15582,0.14793
0.252,0.24852,0.05621,0.14004,0.04241,0.21696,0,0.15483,0.14497
0.254,0.25542,0.05227,0.13807,0.0286,0.22091,0.00493,0.15385,0.1499
0.256,0.24162,0.05621,0.14497,0.04536,0.22189,0,0.15286,0.14103
0.258,0.25148,0.05917,0.13412,0.03452,0.21302,0.00493,0.15976,0.14694
0.26,0.25247,0.05621,0.13412,0.03748,0.21499,0,0.16371,0.14497
0.262,0.24655,0.05325,0.14201,0.04832,0.21795,0,0.14004,0.15582
0.264,0.2426,0.06213,0.13905,0.03846,0.21795,0,0.15483,0.14892
0.266,0.24951,0.0641,0.13215,0.04241,0.22189,0,0.14398,0.1499
0.268,0.24162,0.05819,0.143,0.02761,0.2288,0,0.15385,0.15089
0.27,0.24458,0.06312,0.13609,0.01874,0.22584,0,0.16371,0.15187
0.272,0.2426,0.05819,0.13905,0.03452,0.21893,0.00493,0.15286,0.15286
0.274,0.24063,0.05819,0.143,0.03452,0.21992,0,0.15976,0.14793
0.276,0.24359,0.06114,0.14103,0.02367,0.22682,0.00493,0.15483,0.14793
0.278,0.25049,0.0572,0.13018,0.02761,0.23077,0,0.16075,0.14694
0.28,0.23866,0.06114,0.13807,0.04043,0.22584,0,0.14497,0.15483
0.282,0.24063,0.05917,0.13708,0.02465,0.21696,0.00493,0.1716,0.14892
