# m/z,Intensity
1022.1000,4.0000
1022.2000,2.9425
1022.3000,4.7623
1022.4000,5.0000
1022.5000,9.0283
1022.6000,3.7123
1022.7000,6.0333
1022.8000,5.9593
1022.9000,2.6358
1023.0000,6.0000
1023.1000,7.8792
1023.2000,6.4670
1023.3000,9.0000
1023.4000,3.2189
1023.5000,8.6132
1023.6000,7.8198
1023.7000,3.2333
1023.8000,5.2491
1023.9000,3.4194
1024.0000,2.9151
1024.1000,1.5222
1024.2000,4.4283
1024.3000,2.8926
1024.4000,5.7000
1024.5000,16.1111
1024.6000,25.0000
1024.7000,35.7868
1024.8000,32.1000
1024.9000,19.4434
1025.0000,9.4151
1025.1000,3.6333
1025.2000,7.6491
1025.3000,3.2019
1025.4000,4.3528
1025.5000,2.8796
1025.6000,6.1477
1025.7000,3.0000
1025.8000,7.5623
1025.9000,1.7811
1026.0000,2.1132
1026.1000,0.3389
1026.2000,1.6962
1026.3000,2.8815
1026.4000,1.4000
1026.5000,1.0000
1026.6000,2.4185
1026.7000,5.0000
1026.8000,2.0148
1026.9000,3.2167
1027.0000,1.0741
1027.1000,2.5434
1027.2000,1.0000
1027.3000,3.8629
1027.4000,2.0000
1027.5000,1.3611
1027.6000,5.0000
1027.7000,0.6340
1027.8000,1.6717
1027.9000,2.9889
1028.0000,3.0000
1028.1000,3.4811
1028.2000,0.0426
1028.3000,4.0833
1028.4000,1.2717
1028.5000,1.9259
1028.6000,2.8453
1028.7000,0.7189
1028.8000,1.2151
1028.9000,2.0000
1029.0000,0.3889
1029.1000,2.0000
1029.2000,2.4963
1029.3000,1.1472
1029.4000,0.8094
1029.5000,1.4537
1029.6000,1.0000
1029.7000,4.2822
1029.8000,3.0000
1029.9000,2.8741
1030.0000,2.7037
1030.1000,1.3604
1030.2000,2.9611
1030.3000,1.0000
1030.4000,0.3037
1030.5000,0.1111
1030.6000,0.5962
1030.7000,0.2444
1030.8000,0.8925
1030.9000,2.3944
1031.0000,4.2963
1031.1000,1.0000
1031.2000,1.4667
1031.3000,2.8906
1031.4000,3.0000
1031.5000,2.4057
1031.6000,2.9604
1031.7000,3.2815
1031.8000,1.0000
1031.9000,1.0296
1032.0000,2.1667
1032.1000,0.2519
1032.2000,1.0981
1032.3000,1.5426
1032.4000,1.1679
1032.5000,0.8148
1032.6000,1.3667
1032.7000,0.2889
1032.8000,2.2679
1032.9000,1.6245
1033.0000,0.0463
1033.1000,2.3000
1033.3000,4.8444
1033.4000,2.4370
1033.5000,0.1905
1033.6000,1.1648
1033.7000,2.0000
1033.8000,0.9019
1033.9000,1.4868
1034.0000,1.8889
1034.1000,1.0111
1034.2000,0.7148
1034.3000,2.0000
1034.4000,0.0944
1034.5000,2.1509
1034.6000,1.8222
1034.7000,0.4000
1034.8000,1.7630
1034.9000,1.0000
1035.0000,0.3056
1035.1000,1.3226
1035.2000,0.0426
1035.3000,1.4111
1035.4000,1.0000
1035.5000,0.1509
1035.6000,0.4833
1035.7000,1.8944
1035.8000,1.4556
1035.9000,0.6500
1036.0000,0.0185
1036.1000,0.3849
1036.2000,2.0000
1036.3000,0.1264
1036.4000,0.4981
1036.5000,0.8796
1036.6000,2.4755
1036.7000,3.3741
1036.8000,1.0000
1036.9000,0.3887
1037.0000,0.2358
1037.1000,0.1463
1037.2000,0.9519
1037.3000,1.0000
1037.4000,1.7296
1037.5000,1.7037
1037.6000,1.0528
1037.7000,1.1741
1037.8000,0.7907
1037.9000,1.8315
1038.0000,1.5463
1038.1000,0.9321
1038.2000,1.3111
1038.3000,2.3111
1038.4000,1.0000
1038.5000,2.0000
1038.6000,2.6630
1038.7000,4.0889
1038.8000,3.4222
1038.9000,11.9926
1039.0000,10.1111
1039.1000,12.0000
1039.2000,2.2704
1039.3000,5.8741
1039.4000,8.0000
1039.5000,4.0000
1039.6000,4.3736
1039.7000,3.2111
1039.8000,2.2870
1039.9000,2.6704
1040.0000,3.5370
1040.1000,3.2556
1040.2000,2.9963
1040.3000,4.6444
1040.4000,1.7889
1040.5000,2.0000
1040.6000,1.1283
1040.7000,1.1500
1040.8000,1.3463
1040.9000,2.0000
1041.0000,3.7407
1041.1000,1.4222
1041.2000,1.0000
1041.4000,0.3000
1041.5000,2.7453
1041.6000,1.5208
1041.7000,2.8830
1041.9000,2.3377
1042.0000,1.0648
1042.1000,1.4611
1042.2000,2.0000
1042.3000,1.2444
1042.4000,1.0000
1042.5000,1.9259
1042.6000,2.0000
1042.7000,1.4833
1042.8000,1.0000
1042.9000,3.3685
1043.0000,2.0370
1043.1000,2.7000
1043.2000,0.8519
1043.3000,0.4374
1043.4000,2.6315
1043.5000,1.1389
1043.6000,0.5759
1043.7000,3.3185
1043.8000,2.0000
1043.9000,0.6407
1044.0000,3.0000
1044.1000,1.0000
1044.2000,0.3222
1044.3000,0.2537
1044.4000,1.6407
1044.5000,1.0556
1044.6000,1.5481
1044.7000,1.4000
1044.8000,0.2537
1044.9000,2.3370
1045.0000,3.1667
1045.1000,2.4111
1045.2000,1.1148
1045.3000,3.7000
1045.4000,2.2852
1045.5000,1.1019
1045.6000,1.9333
1045.7000,2.2056
1045.8000,1.6630
1045.9000,1.2481
1046.0000,0.8519
1046.1000,1.0000
1046.2000,0.0315
1046.3000,0.3833
1046.4000,1.7981
1046.5000,0.6111
1046.6000,1.1444
1046.7000,0.9667
1046.8000,1.0000
1046.9000,1.0000
1047.0000,1.2685
1047.1000,1.6833
1047.2000,0.0897
1047.3000,1.0074
1047.4000,2.7556
1047.5000,1.3333
1047.6000,1.0000
1047.7000,0.1722
1047.8000,1.4130
1047.9000,0.0019
1048.0000,1.4182
1048.1000,1.6815
1048.2000,1.0000
1048.4000,0.0944
1048.5000,1.4907
1048.7000,2.3037
1048.8000,1.0000
1048.9000,2.0000
1049.1000,0.9833
1049.2000,1.6500
1049.3000,1.1352
1049.4000,0.8667
1049.5000,1.2963
1049.6000,3.5889
1049.7000,2.0000
1049.8000,3.9519
1049.9000,1.4093
1050.0000,1.0000
1050.1000,2.5037
1050.2000,0.6815
1050.3000,1.9037
1050.5000,1.0463
1050.6000,2.4519
1050.7000,1.1981
1050.8000,1.0000
1050.9000,0.6593
1051.0000,1.0000
1051.1000,0.4741
1051.2000,1.8655
1051.3000,1.2704
1051.4000,1.7981
1051.6000,0.6556
1051.7000,2.7333
1051.8000,0.4778
1051.9000,1.0000
1052.0000,0.6204
1052.1000,1.8130
1052.2000,2.2611
1052.3000,0.3296
1052.4000,0.8963
1052.6000,0.9796
1052.7000,0.5870
1052.8000,1.1537
1052.9000,0.2796
1053.0000,1.7037
1053.1000,1.0000
1053.2000,0.8222
1053.3000,1.9869
1053.4000,0.4463
1053.6000,0.3315
1053.7000,1.5200
1053.8000,1.7926
1053.9000,1.6407
1054.0000,0.0909
1054.1000,1.0333
1054.2000,1.0491
1054.3000,1.0000
1054.4000,0.3418
1054.6000,3.7164
1054.7000,1.8370
1054.8000,2.0000
1054.9000,1.0000
1055.0000,1.0000
1055.1000,1.0752
1055.2000,0.6333
1055.3000,1.8185
1055.4000,0.7481
1055.5000,0.6944
1055.6000,0.1463
1055.7000,0.5873
1055.8000,0.0315
1055.9000,2.4222
1056.0000,1.8519
1056.1000,0.3709
1056.2000,0.5836
1056.3000,0.2537
1056.4000,1.7056
1056.6000,0.6000
1056.8000,2.4815
1056.9000,1.0000
1057.0000,2.3981
1057.1000,0.1500
1057.2000,0.9056
1057.3000,0.5111
1057.4000,2.0000
1057.6000,1.1000
1057.7000,1.5426
1057.8000,1.9891
1057.9000,0.4564
1058.0000,1.0000
1058.3000,0.2630
1058.4000,1.7109
1058.6000,1.0000
1058.7000,1.9204
1058.8000,2.4593
1058.9000,3.9852
1059.0000,1.4545
1059.1000,0.9148
1059.2000,1.0000
1059.3000,1.8278
1059.4000,1.0000
1059.5000,2.0000
1059.6000,2.6148
1059.7000,0.6630
1059.8000,0.3444
1059.9000,0.8481
1060.0000,2.9444
1060.1000,1.4981
1060.2000,7.6532
1060.3000,1.4111
1060.4000,4.0000
1060.5000,1.0000
1060.6000,0.4111
1060.7000,4.7400
1060.9000,2.4389
1061.1000,1.0000
1061.2000,1.2655
1061.3000,2.9185
1061.4000,2.9963
1061.5000,2.1111
1061.6000,2.4426
1061.7000,5.8074
1061.8000,7.6327
1061.9000,5.2444
1062.0000,4.9273
1062.1000,8.2855
1062.2000,7.2091
1062.3000,2.7036
1062.4000,3.3673
1062.5000,3.4545
1062.6000,4.6509
1062.7000,3.0556
1062.8000,5.7545
1062.9000,8.4389
1063.0000,11.0093
1063.1000,25.2333
1063.2000,40.3745
1063.3000,79.3491
1063.4000,114.3407
1063.5000,87.8333
1063.6000,58.4291
1063.7000,32.8891
1063.8000,18.6833
1063.9000,20.1667
1064.0000,16.2909
1064.1000,16.1891
1064.2000,23.3259
1064.3000,43.6400
1064.4000,185.2241
1064.5000,685.5000
1064.6000,1827.4889
1064.7000,2522.8000
1064.8000,2060.7889
1064.9000,1172.5927
1065.0000,511.4953
1065.1000,203.8018
1065.2000,58.6852
1065.3000,32.9036
1065.4000,24.6704
1065.5000,38.8333
1065.6000,34.7037
1065.7000,41.2741
1065.8000,29.5709
1065.9000,24.6491
1066.0000,19.5370
1066.1000,12.0296
1066.2000,9.5345
1066.3000,12.8509
1066.4000,13.8222
1066.5000,9.2963
1066.6000,11.0291
1066.7000,9.6418
1066.8000,9.6278
1066.9000,7.4436
1067.0000,1.3704
1067.1000,4.5815
1067.2000,3.8593
1067.3000,3.3500
1067.4000,6.0000
1067.5000,5.0000
1067.6000,1.0147
1067.7000,4.0148
1067.8000,7.0000
1067.9000,4.0000
1068.0000,4.8636
1068.1000,2.5473
1068.2000,2.0000
1068.3000,3.2927
1068.4000,4.1630
1068.5000,1.0000
1068.6000,5.8982
1068.7000,5.2255
1068.8000,6.3364
1068.9000,6.3655
1069.0000,2.4091
1069.1000,1.6473
1069.2000,2.0000
1069.3000,5.6407
1069.4000,4.4873
1069.5000,5.0000
1069.6000,2.0000
1069.7000,3.3709
1069.8000,2.9537
1069.9000,11.1127
1070.0000,22.0000
1070.1000,25.4036
1070.2000,25.3720
1070.3000,21.1418
1070.4000,15.8981
1070.5000,6.8727
1070.6000,3.3127
1070.7000,3.4618
1070.8000,9.3018
1070.9000,5.5407
1071.0000,5.2636
1071.1000,6.4852
1071.2000,7.7056
1071.3000,7.7327
1071.4000,3.7564
1071.5000,3.7407
1071.6000,2.7667
1071.7000,1.7309
1071.8000,4.2418
1071.9000,2.7255
1072.0000,4.0000
1072.1000,5.8000
1072.2000,7.0000
1072.3000,5.4473
1072.4000,4.6333
1072.5000,3.8455
1072.6000,5.7944
1072.7000,3.8891
1072.8000,2.6185
1072.9000,5.0945
1073.0000,5.0000
1073.1000,5.6327
1073.2000,11.3185
1073.3000,16.3909
1073.4000,20.0745
1073.5000,32.6574
1073.6000,14.0945
1073.7000,13.0000
1073.8000,5.2519
1073.9000,7.4982
1074.0000,1.8818
1074.1000,2.0000
1074.2000,1.3481
1074.3000,2.2382
1074.4000,7.9200
1074.5000,8.0000
1074.6000,6.0963
1074.7000,3.4593
1074.8000,3.9164
1074.9000,2.9667
1075.0000,2.0091
1075.1000,2.0000
1075.2000,5.0727
1075.3000,2.9382
1075.4000,4.9527
1075.5000,4.0000
1075.6000,2.0000
1075.7000,3.0000
1075.8000,2.3167
1075.9000,6.2444
1076.0000,1.1455
1076.1000,1.6618
1076.2000,2.0000
1076.3000,0.9436
1076.4000,0.8073
1076.5000,2.5636
1076.6000,1.2527
1076.7000,2.5200
1076.8000,3.0000
1076.9000,2.0000
1077.0000,0.6422
1077.1000,0.1655
1077.2000,3.0000
1077.3000,3.2291
1077.4000,2.6073
1077.5000,3.7037
1077.6000,2.6691
1077.7000,1.0800
1077.8000,2.4855
1077.9000,2.9963
1078.0000,2.0000
1078.1000,2.8389
1078.2000,1.5782
1078.3000,0.9037
1078.4000,2.6291
1078.5000,1.1636
1078.6000,1.3418
1078.7000,0.8218
1078.8000,5.9407
1078.9000,2.0000
1079.0000,2.5636
1079.1000,1.9111
1079.2000,1.1673
1079.3000,1.9255
1079.4000,2.2145
1079.5000,0.8333
1079.6000,1.0000
1079.8000,1.9964
1080.0000,0.1455
1080.1000,2.1964
1080.2000,1.8673
1080.4000,0.1870
1080.5000,1.8727
1080.6000,1.2436
1080.7000,1.7782
1080.8000,4.3745
1080.9000,1.0000
1081.0000,0.6204
1081.1000,0.9241
1081.2000,3.6349
1081.3000,0.0291
1081.4000,2.0000
1081.5000,0.9455
1081.6000,1.5800
1081.7000,0.8833
1081.8000,1.3345
1081.9000,2.5964
1082.0000,3.2727
1082.1000,3.0000
1082.2000,2.6291
1082.3000,1.6982
1082.4000,2.0000
1082.5000,1.4273
1082.6000,2.9618
1082.8000,0.0800
1082.9000,1.5745
1083.0000,0.8727
1083.1000,1.0000
1083.2000,0.4109
1083.3000,1.2600
1083.4000,1.1709
1083.5000,1.0000
1083.6000,0.6291
1083.7000,0.4727
1083.8000,1.6255
1083.9000,1.0000
1084.0000,1.4636
1084.1000,1.0000
1084.2000,1.3582
1084.3000,1.6655
1084.4000,2.0000
1084.5000,2.7273
1084.6000,1.0000
1084.7000,0.7018
1084.8000,2.8073
1084.9000,1.5436
1085.0000,0.9909
1085.1000,0.5345
1085.2000,0.0873
1085.3000,1.0000
1085.4000,0.3855
1085.5000,0.2636
1085.6000,0.7109
1085.7000,1.8418
1085.8000,2.2109
1085.9000,0.1236
1086.2000,0.4073
1086.3000,0.2800
1086.4000,1.0000
1086.5000,0.7545
1086.6000,1.4218
1086.8000,1.0873
1086.9000,2.0691
1087.0000,1.0000
1087.2000,5.3127
1087.3000,0.6855
1087.4000,0.2291
1087.5000,0.6545
1087.6000,0.6473
1087.7000,2.9055
1087.9000,1.0000
1088.0000,0.5727
1088.1000,0.8745
1088.2000,0.3127
1088.3000,1.7200
1088.4000,3.1891
1088.5000,1.7273
1088.6000,1.0000
1088.7000,0.4782
1088.8000,0.0491
1088.9000,0.6018
1089.0000,0.1636
1089.1000,2.2786
1089.2000,3.2873
1089.3000,3.0000
1089.4000,2.0000
1089.5000,1.1091
1089.6000,1.6309
1089.7000,1.0000
1089.8000,5.0000
1089.9000,2.0000
1090.0000,3.8000
1090.1000,1.6936
1090.2000,2.1709
1090.3000,2.9709
1090.4000,5.8873
1090.5000,3.3818
1090.6000,7.1891
1090.7000,11.2393
1090.8000,9.3745
1090.9000,11.8709
1091.0000,6.8909
1091.1000,3.0818
1091.2000,4.4127
1091.3000,4.5527
1091.4000,2.7200
1091.5000,3.8364
1091.6000,1.8618
1091.7000,1.4339
1091.8000,1.0125
1091.9000,1.4164
1092.0000,3.0000
1092.1000,1.0000
1092.2000,1.4255
1092.3000,1.1418
1092.4000,2.3179
1092.5000,1.9909
1092.6000,1.4200
1092.7000,2.0000
1092.8000,1.7800
1092.9000,3.3964
1093.0000,2.7455
1093.1000,0.5464
1093.2000,1.9345
1093.3000,4.4055
1093.4000,0.9018
1093.5000,5.0182
1093.6000,2.6750
1093.7000,1.9055
1093.8000,2.4857
1093.9000,2.1309
1094.0000,1.3571
1094.1000,0.4327
1094.2000,3.0000
1094.3000,1.6236
1094.4000,0.1046
1094.5000,0.9455
1094.6000,1.0000
1094.7000,1.3857
1094.8000,3.0000
1094.9000,1.1436
1095.0000,3.4375
1095.1000,1.0000
1095.2000,0.6018
1095.3000,1.8145
1095.5000,0.6545
1095.6000,1.0745
1095.7000,0.4855
1095.8000,2.0000
1095.9000,0.3073
1096.0000,3.7297
1096.1000,1.4607
1096.2000,1.0000
1096.3000,0.0655
1096.4000,1.0000
1096.5000,2.8091
1096.6000,5.7800
1096.7000,0.3691
1096.8000,1.0000
1096.9000,2.9236
1097.2000,2.0732
1097.4000,0.9855
1097.5000,2.1636
1097.6000,0.3382
1097.7000,0.5018
1097.8000,1.6857
1097.9000,2.1055
1098.0000,1.0000
1098.1000,1.3836
1098.2000,1.8786
1098.3000,0.1873
1098.4000,1.6073
1098.5000,3.0000
1098.6000,0.5891
1098.7000,2.6436
1098.8000,0.7764
1098.9000,0.3655
1099.0000,0.0273
1099.1000,0.5618
1099.2000,0.3143
1099.3000,1.0000
1099.4000,1.0000
1099.5000,1.9455
1099.6000,1.5339
1099.7000,2.1327
1099.8000,0.2600
1099.9000,1.3418
1100.0000,2.0727
1100.1000,1.5250
1100.2000,0.3709
1100.4000,0.3232
1100.5000,2.8393
1100.6000,2.0000
1100.7000,0.2607
1100.8000,1.2821
1100.9000,1.3600
1101.0000,1.8545
1101.1000,0.5345
1101.3000,2.0000
1101.4000,1.0000
1101.5000,0.0625
1101.6000,2.0000
1101.7000,0.1418
1101.8000,1.2464
1101.9000,2.6436
1102.0000,0.9554
1102.1000,0.4382
1102.2000,0.1691
1102.3000,0.4393
1102.4000,1.7714
1102.5000,0.0357
1102.6000,0.5964
1102.9000,2.1600
1103.0000,0.0818
1103.1000,2.2821
1103.4000,1.0000
1103.5000,1.0000
1103.6000,1.2929
1103.7000,0.2964
1103.8000,1.0000
1103.9000,0.5196
1104.0000,1.0000
1104.1000,2.2179
1104.2000,0.7071
1104.3000,0.9679
1104.4000,0.8536
1104.5000,0.1909
1104.6000,1.8018
1104.7000,0.4236
1104.8000,0.9782
1104.9000,0.3527
1105.2000,0.5125
1105.3000,1.2073
1105.4000,0.2709
1105.5000,0.6518
1105.6000,0.9536
1105.7000,1.0000
1105.9000,2.0000
1106.0000,1.5688
1106.1000,0.0518
1106.2000,0.3339
1106.5000,0.5273
1106.7000,1.0000
1106.8000,1.2180
1106.9000,0.0055
1107.0000,1.7321
1107.1000,0.7473
1107.2000,0.1207
1107.3000,0.4945
1107.4000,1.0000
1107.5000,1.7455
1107.6000,1.0000
1107.7000,0.0125
1107.8000,0.3873
1108.0000,2.7321
1108.1000,1.0214
1108.2000,2.0000
1108.3000,0.7491
1108.5000,1.9911
1108.6000,1.0000
1108.7000,1.2554
1108.9000,1.5018
1109.0000,0.1273
1109.1000,1.5143
1109.3000,1.0000
1109.4000,0.6446
1109.6000,1.9089
1109.8000,0.8327
1109.9000,0.2036
1110.0000,1.1273
1110.1000,1.0000
1110.2000,1.6964
1110.3000,1.0000
1110.6000,1.5491
1110.7000,0.8691
1110.8000,1.0000
1110.9000,0.1268
1111.0000,0.4821
1111.1000,1.7964
1111.2000,1.9179
1111.3000,1.0000
1111.4000,3.3964
1111.5000,2.0536
1111.6000,2.1571
1111.7000,3.8919
1111.8000,1.7036
1111.9000,2.5073
1112.0000,0.1339
1112.1000,0.2220
1112.2000,1.0000
1112.3000,0.9429
1112.4000,1.3786
1112.5000,0.3273
1112.6000,1.9625
1112.7000,0.7750
1112.8000,1.4982
1112.9000,0.8946
1113.0000,1.5273
1113.1000,3.8291
1113.2000,5.2714
1113.3000,3.3393
1113.4000,7.3709
1113.5000,7.4464
1113.6000,1.6089
1113.7000,3.0000
1113.8000,1.3236
1113.9000,2.7429
1114.0000,0.0357
1114.1000,1.6143
1114.2000,3.4893
1114.3000,2.8073
1114.4000,1.5473
1114.5000,0.3818
1114.6000,3.4857
1114.7000,2.9491
1114.8000,3.7382
1114.9000,1.4429
1115.0000,4.1455
1115.1000,8.6455
1115.2000,6.5345
1115.3000,1.3764
1115.4000,4.8847
1115.5000,4.3571
1115.6000,1.9857
1115.7000,2.9571
1115.8000,1.7495
1115.9000,2.2745
1116.0000,4.9364
1116.1000,6.4125
1116.2000,19.8125
1116.3000,33.8786
1116.4000,51.6945
1116.5000,64.3929
1116.6000,71.0036
1116.7000,43.9636
1116.8000,22.0875
1116.9000,25.4696
1117.0000,7.7818
1117.1000,11.3429
1117.2000,14.0000
1117.3000,14.7036
1117.4000,19.7536
1117.5000,46.5179
1117.6000,196.5750
1117.7000,655.9929
1117.8000,1470.1732
1117.9000,1914.0679
1118.0000,1525.8545
1118.1000,878.2286
1118.2000,355.0909
1118.3000,127.0000
1118.4000,42.6250
1118.5000,23.6818
1118.6000,17.1571
1118.7000,19.5179
1118.8000,23.9382
1118.9000,30.7429
1119.0000,24.5000
1119.1000,21.4143
1119.2000,14.7545
1119.3000,6.3982
1119.4000,5.2696
1119.5000,4.1250
1119.6000,5.4036
1119.7000,6.7357
1119.8000,9.5929
1119.9000,5.5927
1120.0000,5.0000
1120.1000,2.2732
1120.2000,5.1161
1120.3000,4.5018
1120.4000,3.0000
1120.5000,4.7143
1120.6000,4.5127
1120.7000,5.2291
1120.8000,6.8757
1120.9000,6.7411
1121.0000,5.8393
1121.1000,1.6500
1121.2000,2.0000
1121.3000,1.2571
1121.4000,4.7782
1121.5000,1.3393
1121.6000,2.0000
1121.7000,2.0000
1121.8000,5.0000
1121.9000,3.9482
1122.0000,4.0000
1122.1000,5.0000
1122.2000,6.9607
1122.3000,1.7429
1122.4000,2.8893
1122.5000,1.9464
1122.6000,1.7179
1122.7000,6.3661
1122.8000,2.9946
1122.9000,2.0000
1123.0000,2.0000
1123.1000,1.0073
1123.2000,4.0000
1123.3000,9.3273
1123.4000,10.0000
1123.5000,22.1071
1123.6000,30.1732
1123.7000,41.7714
1123.8000,18.4714
1123.9000,9.0000
1124.0000,4.4286
1124.1000,4.4500
1124.2000,3.0000
1124.3000,4.2750
1124.4000,3.0000
1124.5000,1.5268
1124.6000,5.6643
1124.7000,4.7071
1124.8000,5.0000
1124.9000,1.7750
1125.0000,5.1161
1125.1000,1.1393
1125.2000,2.4893
1125.3000,1.0589
1125.4000,6.0000
1125.5000,3.0893
1125.6000,2.0214
1125.7000,4.3000
1125.8000,4.3607
1125.9000,3.0750
1126.0000,5.1696
1126.1000,2.2268
1126.2000,3.8107
1126.3000,3.4571
1126.4000,3.5429
1126.5000,3.0000
1126.6000,3.8286
1126.7000,3.9536
1126.8000,5.5821
1126.9000,13.0000
1127.0000,15.4196
1127.1000,14.7982
1127.2000,10.9607
1127.3000,8.9393
1127.4000,6.0036
1127.5000,2.9643
1127.6000,0.5750
1127.7000,2.4071
1127.8000,2.7482
1127.9000,2.0000
1128.0000,1.0714
1128.1000,1.3357
1128.2000,3.8536
1128.3000,1.9214
1128.4000,1.7661
1128.5000,4.5982
1128.6000,1.3768
1128.7000,2.3089
1128.8000,1.9875
1128.9000,0.6947
1129.0000,2.6071
1129.1000,1.1929
1129.2000,3.4357
1129.3000,2.9071
1129.4000,2.1772
1129.5000,7.5982
1129.6000,3.7214
1129.7000,1.2596
1129.8000,1.9500
1129.9000,1.0393
1130.0000,0.6429
1130.2000,1.4750
1130.3000,1.4411
1130.4000,0.2893
1130.5000,2.8482
1130.6000,2.4571
1130.7000,0.4842
1130.8000,4.7333
1130.9000,2.5429
1131.0000,0.6607
1131.1000,4.8643
1131.2000,3.0000
1131.3000,2.7643
1131.4000,1.1357
1131.5000,2.0000
1131.6000,2.5429
1131.7000,0.7393
1131.8000,1.0000
1131.9000,3.6982
1132.0000,0.6404
1132.1000,0.0696
1132.2000,0.4536
1132.3000,1.0000
1132.4000,2.0000
1132.5000,3.5088
1132.6000,1.4036
1132.7000,1.7089
1132.8000,2.9839
1132.9000,2.0000
1133.0000,2.8393
1133.1000,0.8857
1133.2000,1.0000
1133.3000,1.0786
1133.4000,2.0000
1133.5000,1.0000
1133.6000,1.6589
1133.7000,0.7250
1133.8000,0.1649
1133.9000,0.2125
1134.1000,1.0000
1134.2000,1.8500
1134.3000,1.7429
1134.4000,0.3411
1134.5000,0.9554
1134.6000,2.5321
1134.8000,2.4268
1134.9000,1.8071
1135.0000,0.3929
1135.1000,2.0143
1135.3000,1.0000
1135.4000,1.5339
1135.7000,0.3895
1135.8000,2.0000
1135.9000,2.9536
1136.0000,0.2321
1136.1000,1.5153
1136.2000,0.8018
1136.3000,1.0000
1136.4000,1.0000
1136.6000,4.7571
1136.7000,1.5643
1136.8000,1.5036
1136.9000,2.4500
1137.1000,0.3411
1137.3000,0.1018
1137.4000,1.0000
1137.8000,0.2821
1137.9000,2.0000
1138.0000,1.1518
1138.1000,1.1246
1138.3000,1.3500
1138.4000,0.9536
1138.5000,2.0000
1138.6000,2.4643
1138.7000,0.7714
1138.8000,0.9421
1138.9000,0.3196
1139.1000,0.8768
1139.2000,1.8536
1139.3000,1.5750
1139.4000,1.0000
1139.5000,0.9643
1139.6000,0.7661
1139.7000,1.4875
1139.8000,0.4456
1139.9000,0.9482
1140.0000,0.6875
1140.2000,1.0000
1140.3000,0.2737
1140.4000,0.4000
1140.5000,1.3246
1140.6000,1.0000
1140.7000,2.3732
1140.8000,0.4696
1140.9000,1.2561
1141.0000,2.9825
1141.1000,0.2786
1141.2000,0.9053
1141.3000,0.1965
1141.4000,2.0860
1141.5000,1.0000
1141.6000,1.6089
1141.8000,0.1393
1141.9000,2.1789
1142.0000,2.3333
1142.1000,1.9393
1142.2000,0.3965
1142.3000,1.5911
1142.5000,0.9911
1142.6000,1.4964
1142.7000,2.0429
1142.8000,0.4357
1142.9000,0.0842
1143.0000,1.4035
1143.2000,2.8193
1143.4000,2.3250
1143.5000,0.4018
1143.6000,2.6036
1143.7000,0.2526
1143.8000,0.3825
1144.0000,0.0982
1144.1000,1.8404
1144.2000,0.4054
1144.3000,0.3339
1144.4000,1.0000
1144.5000,0.1786
1144.6000,1.6821
1144.7000,0.6877
1144.8000,1.0561
1144.9000,1.5825
1145.0000,1.0000
1145.1000,1.4321
1145.2000,2.2421
1145.3000,2.5429
1145.4000,1.9228
1145.5000,1.5357
1145.6000,1.0000
1145.7000,0.9263
1145.8000,4.4625
1145.9000,2.7351
1146.0000,4.9643
1146.1000,0.7661
1146.2000,5.0211
1146.3000,5.2250
1146.4000,4.0105
1146.5000,6.9825
1146.6000,7.9714
1146.7000,7.0000
1146.8000,5.9632
1146.9000,3.2439
1147.0000,6.5446
1147.1000,2.4857
1147.2000,3.0281
1147.3000,0.4842
1147.4000,1.0386
1147.5000,5.7387
1147.6000,1.0321
1147.7000,0.4456
1147.8000,1.8786
1147.9000,4.7125
1148.0000,4.0351
1148.1000,2.6214
1148.2000,5.8000
1148.3000,3.0000
1148.4000,2.0549
1148.5000,2.0000
1148.6000,2.5696
1148.7000,2.3071
1148.8000,1.1679
1148.9000,1.0000
1149.0000,2.2105
1149.1000,3.6421
1149.2000,1.4772
1149.3000,2.2561
1149.4000,2.3667
1149.5000,3.6053
1149.6000,4.6877
1149.7000,3.9175
1149.8000,0.6702
1149.9000,2.7263
1150.0000,2.1964
1150.1000,0.0912
1150.2000,0.2804
1150.3000,1.4768
1150.4000,3.2474
1150.5000,1.9912
1150.6000,0.4596
1150.7000,0.4772
1150.8000,3.0000
1150.9000,1.0000
1151.0000,1.8246
1151.2000,2.0000
1151.3000,2.7649
1151.4000,1.1211
1151.5000,2.0446
1151.6000,1.8211
1151.7000,2.6500
1151.8000,1.9500
1151.9000,0.7123
1152.0000,2.0000
1152.1000,1.7316
1152.2000,0.0268
1152.3000,4.7842
1152.4000,1.5554
1152.5000,1.0000
1152.6000,0.2357
1152.7000,2.5684
1152.8000,0.7429
1152.9000,1.1632
1153.0000,0.1667
1153.1000,2.0000
1153.2000,0.2930
1153.3000,1.9719
1153.4000,2.5143
1153.5000,0.0536
1153.6000,0.2035
1153.7000,1.4321
1153.8000,2.3339
1153.9000,2.6789
1154.0000,2.0000
1154.1000,1.3298
1154.2000,1.4339
1154.3000,2.0000
1154.4000,0.0491
1154.5000,1.2456
1154.6000,0.9333
1154.7000,1.3035
1154.8000,0.9175
1154.9000,1.0000
1155.0000,1.3596
1155.1000,1.5807
1155.2000,1.8105
1155.3000,2.9684
1155.4000,1.0000
1155.5000,1.4737
1155.6000,1.2965
1155.7000,1.9246
1155.9000,1.3554
1156.0000,1.4196
1156.1000,1.2000
1156.2000,2.9579
1156.3000,0.4842
1156.4000,0.4632
1156.6000,0.8965
