# m/z,Intensity
724.2000,1.2267
724.3000,1.3456
724.4000,1.0000
724.8000,2.8800
724.9000,1.0000
725.0000,1.6425
725.1000,1.4034
725.2000,0.8134
725.3000,0.9422
725.5000,0.2444
725.7000,2.0356
725.8000,0.8989
725.9000,2.2089
726.0000,1.3167
726.1000,0.8489
726.2000,0.4567
726.3000,0.3489
726.4000,1.0000
726.5000,0.8667
726.6000,0.0256
726.7000,2.8346
726.8000,2.0000
726.9000,0.7117
727.0000,0.4000
727.1000,0.5078
727.2000,1.0000
727.3000,3.0000
727.4000,7.2356
727.5000,5.0000
727.6000,4.9600
727.7000,3.6700
727.9000,1.0000
728.0000,1.0000
728.1000,0.5078
728.2000,2.6044
728.3000,1.7011
728.4000,1.0000
728.5000,0.8944
728.7000,1.8458
728.8000,0.8211
728.9000,0.7244
729.0000,0.3611
729.1000,0.4578
729.2000,0.5484
729.3000,0.3600
729.4000,0.2744
729.5000,0.1778
729.7000,0.9933
729.9000,1.0000
730.0000,0.2500
730.1000,1.0000
730.2000,0.8422
730.3000,0.4933
730.4000,1.2233
730.5000,0.6778
730.6000,0.7564
730.9000,0.9967
731.0000,0.0879
731.2000,1.0000
731.6000,0.4533
731.9000,1.2275
732.1000,0.0811
732.3000,0.0670
732.4000,0.1311
732.5000,1.2056
732.6000,0.2785
732.9000,0.4838
733.0000,0.4451
733.1000,1.2352
733.2000,1.3122
733.4000,1.6330
733.5000,0.8791
733.6000,0.0582
733.8000,0.9322
733.9000,0.1311
734.1000,1.4901
734.2000,1.0000
734.5000,1.5111
734.6000,0.4538
734.7000,1.0000
734.8000,0.3396
734.9000,0.7121
735.0000,0.7722
735.7000,1.0000
735.8000,0.1934
736.3000,0.4344
736.4000,0.4813
736.5000,0.4722
736.7000,1.0000
736.9000,0.2934
737.3000,0.1308
737.4000,0.1802
737.5000,0.9505
737.6000,0.0088
737.8000,0.0729
737.9000,0.2178
738.0000,0.2967
738.9000,0.4484
739.2000,0.5374
739.4000,1.0000
739.6000,0.3478
739.8000,1.0000
740.0000,0.2473
740.1000,2.3143
740.2000,1.0000
740.3000,2.1802
740.4000,1.8385
740.5000,0.2637
740.6000,1.2264
740.9000,0.0571
741.1000,2.9569
741.2000,2.0000
741.3000,0.9769
741.4000,3.9077
741.5000,0.9505
741.6000,1.0000
741.7000,1.0000
741.8000,0.9055
741.9000,1.7956
742.0000,0.1209
742.1000,3.4857
742.2000,0.8637
742.3000,0.3099
742.5000,2.8297
742.6000,2.0000
742.7000,0.1857
742.8000,0.3868
742.9000,0.7989
743.0000,2.5824
743.1000,0.7835
743.2000,0.4264
