title,Global CCS comparison,,,,,
plot_type,waterfall,,,,,
x_label,CCS,,,,,
y_label,Intensity,,,,,
label,p27-C,p27-KID,p27-FL,Cdk2/Cyclin A,Cdk2/Cyclin A/p27-KID,Cdk2/Cyclin A/p27-FL
color,#0A5F38,#455189,#BD2817,#7E2DBC,#DC5800,#00CBCC
6600,0,0,0,0,0,0.01562
6650,0,0,0,0,0,0.01301
6700,0,0,0,0,0,0.01041
6750,0,0,0,0,0,0.00851
6800,0,0,0,0,0,0.00762
6850,0,0,0,0,0,0.00675
6900,0,0,0,0,5.55E-04,0.00603
6950,0,0,0,0,0,0.00531
7000,0,0,0,0,0,0.00242
7050,0,0,0,0,0,0.00212
7100,0,0,0,0,0,0.00192
7150,0,0,0,0,0,0.00182
7200,0,0,0,0,0,0.00173
7250,0,0,0,0,0,0.00163
7300,0,0,0,0,0,0.00154
7350,0,0,0,0,0,0.00144
7400,0,0,0,0,0,0.00134
7450,0,0,0,0,0,0.00123
7500,0,0,0,0,0,0.0011
7550,0,0,0,0,0,9.66E-04
7600,0,0,0,0,0,8.36E-04
7650,0,0,0,0,0,7.06E-04
7700,0,0,0,0,0,0
7750,0,0,0,0,0,0
7800,0,0,0,0,0,0
7850,0,0,0,0,0,0
7900,0,0,0,0,0,0
7950,0,0,0,0,0,0
8000,0,0,0,0,0,0
