title,t-SNE - multiple sets,,
plot_type,scatter,,
x_label,Component 1,,
y_label,Component 2,,
color,#1abc9c,,#a121dd
axis_x,axis_y,axis_x,axis_y
-5.7548,7.0942,-34.039,-22.0963
-3.6303,17.0062,-32.1208,-28.2019
15.2431,17.4231,-32.5125,-25.0833
24.9071,3.5069,40.3088,-38.3354
8.7647,7.0894,23.1768,19.0302
8.8409,11.9629,1.3567,16.7861
6.7899,6.7516,-2.1997,10.0325
2.7278,8.3538,5.8116,14.7289
7.2592,12.6691,-1.8937,15.4287
-6.8319,17.9934,12.0983,11.964
-6.8345,20.3005,17.0352,14.954
-19.8437,8.9934,9.9294,33.2138
-20.8903,1.97,3.5503,9.2014
-15.4161,13.3006,26.9501,24.418
45.8991,11.3713,34.7939,23.6123
-8.554,20.3987,9.2833,-27.2699
-22.4745,10.7625,4.432,-21.3939
-34.8156,12.7678,50.0756,1.821
27.3493,25.6301,41.7768,3.2368
-21.7136,10.3847,9.5982,25.4619
-36.9982,-10.7532,-21.5816,21.3126
-39.7108,-15.6289,8.0203,36.8566
-28.044,-18.8748,-48.2813,1.5813
-1.3857,-21.8707,-24.9867,21.7146
5.0593,-26.9559,5.326,36.8395
-8.5933,-20.3268,-26.2298,4.7628
-32.2745,-20.6834,-4.5057,-20.4333
-37.4584,-24.6765,-1.568,-21.1856
-36.5394,-32.3018,-11.3523,-18.9562
-29.997,-34.7242,-8.3859,30.982
-35.1466,-30.6234,-39.2688,-1.4359
-33.2916,-31.1403,-48.0739,-5.734
-28.1486,-36.4251,-36.3543,3.4176
-27.7698,-6.5071,-16.8503,28.3949
-27.5016,-35.1871,-39.1833,-4.2152
-28.5856,-37.0263,-36.0857,-4.8083
-27.9155,-37.3133,-30.7347,0.5882
-31.0181,-36.4723,-28.7327,4.4382
39.6081,-39.2449,-19.6052,27.4789
31.2975,1.3789,-12.6013,28.8582
2.5482,17.3275,-14.7692,30.8761
-4.4276,6.3133,-13.1581,28.7362
-4.8784,6.5522,-33.0165,-25.4997
33.6309,-4.9705,-32.6475,-22.5348
22.8846,4.4616,-33.1731,-25.8672
9.6008,12.3441,-35.9394,-26.9537
16.9255,17.0348,-40.1293,-32.6421
10.5207,11.178,-31.8948,-25.9987
15.4991,7.7918,42.4139,-38.0834
14.6574,16.9712,57.4009,-11.187
12.7371,12.5109,4.0496,20.0118
7.5034,7.6656,-3.0054,9.2984
-11.3334,12.1308,-1.6702,10.2869
-10.6761,13.3944,-2.5821,11.415
-11.616,14.2237,21.9774,5.3341
14.2544,28.6608,7.1452,15.0013
13.5001,6.7999,3.863,16.7512
-13.7204,10.8224,21.6232,12.4422
-16.6263,5.3208,29.1737,13.6091
-19.1797,5.3703,0.6631,-16.4102
18.7487,31.1048,9.9416,-27.7795
-20.6969,9.0517,9.9236,-27.6987
-31.2446,-4.8091,-5.2592,23.5459
-6.3313,20.6628,0.4783,31.5795
40.4667,3.7462,17.3718,29.4393
-37.3079,-11.0487,54.087,-13.9002
-43.1944,-27.8336,-1.6527,29.9527
-23.3234,7.1343,-0.7704,30.1895
2.1758,-22.4753,-21.0447,22.8221
7.799,-30.5946,-14.0641,31.5346
-1.8754,-20.8602,-11.422,-19.1444
-27.6613,-25.5593,7.9645,-28.247
-37.6561,-26.4004,7.9422,-31.1082
-35.3361,-32.2321,4.977,-26.1411
-38.0953,-23.087,-13.684,-17.8733
-35.6665,-36.2439,-36.4924,0.7896
-34.2141,-32.7448,-39.1706,6.0023
-30.1621,-35.1182,-47.1501,-6.7348
-29.795,-38.467,-46.2605,-6.7821
-33.2863,-32.8475,-18.453,28.4928
-27.0161,-37.1754,-27.73,6.8071
-26.8597,-4.7001,-26.6235,6.5223
-28.8845,-37.5213,-37.2656,-7.0398
40.5943,-39.6398,-41.9354,-4.6888
21.3224,13.7196,7.783,38.4197
4.6949,16.3679,37.9492,20.0551
20.7794,14.2452,11.1978,38.1154
-1.2156,15.7878,-30.9786,-17.4406
2.1532,-17.9159,-30.0974,-18.7538
14.9829,15.0873,-15.5991,31.6522
14.3882,16.0306,-31.0662,-19.1328
-5.3659,14.9634,-33.1426,-23.6697
29.268,13.2883,-25.9989,3.9941
3.9347,9.5974,42.7933,-40.0878
6.1373,7.7194,29.3882,19.515
2.2325,8.5959,-4.7677,10.607
8.5604,12.3373,-4.7348,10.054
7.2738,9.1658,12.8876,9.1244
13.5215,17.2706,5.086,13.7274
-6.2065,19.7255,42.3152,-2.3368
-8.404,20.5788,28.25,15.5961
13.0475,15.4062,3.6818,17.0368
12.3298,18.7228,-0.6466,15.0088
8.7698,13.1158,51.0806,1.5255
-20.6721,2.3907,37.2641,12.7364
-18.943,6.5542,45.8046,-19.6097
-35.4213,12.2553,-4.3463,23.9642
17.6391,30.3826,35.1145,5.4621
-30.037,3.3969,24.6011,7.8907
-22.9599,12.0683,45.8313,-17.9559
-5.081,20.7403,20.2539,25.4676
35.9128,19.613,-8.3155,22.6615
-28.3048,-18.6103,17.9357,30.9757
-10.8413,-20.6066,5.86,37.3018
-4.3601,-19.6296,-24.6209,5.453
-10.7269,-20.0735,-10.678,-19.2261
-36.0324,-28.192,6.697,-27.2065
-39.2227,-29.4499,8.3938,-29.6652
-36.3615,-31.3615,5.5669,-25.5608
-39.6248,-29.4845,-26.5128,4.4679
-35.55,-34.989,-48.9867,-2.058
-33.8007,-28.7992,-38.568,5.898
-32.4491,-29.3822,-29.0464,12.916
-31.3492,-34.6557,-17.3497,26.8071
-30.6664,-38.5731,-19.1571,27.8946
-32.0045,-38.0223,-40.1956,-6.2972
-27.9498,-38.2118,-35.4459,3.6208
-26.8435,-5.4011,-43.2787,-8.0207
39.7329,-38.7645,-30.104,9.3591
20.9097,7.6883,-43.6082,-9.2455
-5.4481,7.8947,-7.6104,32.0389
-4.5446,12.0429,37.841,22.045
-4.5164,19.765,-15.2344,31.2683
9.9392,14.1396,3.9232,-22.0474
0.0209,15.3467,8.8306,-27.2325
-2.0711,16.0899,-11.7162,-20.4632
-2.9767,16.3306,-33.4433,-20.3135
17.6027,7.1651,-31.9922,-21.5008
16.6071,8.5678,42.0581,-38.6953
24.3466,4.6221,-0.9678,17.8223
7.8311,8.8904,-3.4635,6.1958
-5.8863,16.794,-4.1713,10.2775
-7.8595,20.1547,26.8711,13.5523
-7.258,19.852,16.0291,11.4711
-19.8474,6.5523,20.7563,11.965
-11.4755,14.4296,10.1694,8.0449
19.7507,27.421,14.4485,14.7654
-1.1362,28.4072,34.4398,-5.0795
-28.159,19.0009,13.1923,11.5077
-25.8469,11.3811,44.3651,-16.8231
-31.0656,18.522,27.2259,5.7358
-54.2163,-3.832,29.885,10.6922
-49.1689,-7.7567,23.8076,7.1801
-47.8619,-14.392,37.1393,-5.7811
-45.0624,-21.4109,-10.4482,18.4259
-9.8001,29.0568,18.5872,25.5623
29.0581,24.9879,46.0391,-17.5653
-12.2481,29.7735,49.5313,0.7252
-29.4322,-19.8421,40.7931,13.204
-24.5426,5.267,6.6371,-25.7041
-30.1616,-22.4163,9.215,-28.5193
-30.7893,-23.1893,2.8983,-22.0823
-40.4429,-25.2346,10.4985,30.6787
-40.5864,-31.7373,-8.2061,34.642
-41.4806,-31.7399,-26.4084,5.9136
-36.3415,-32.1438,-45.869,-16.8143
-38.4198,-33.255,-27.2968,9.633
-35.4883,-32.971,-16.2284,28.6785
-33.8824,-35.0596,-38.7457,7.1361
-33.034,-37.4657,-40.901,-3.1964
-32.7708,-37.7057,-39.7196,-5.2251
-32.3867,-37.7724,-40.2181,-5.1723
-27.211,-7.1277,-43.6335,-7.9854
40.3692,-36.8779,-45.7589,-13.1416
43.7022,13.9839,-44.9446,-17.9439
24.6326,18.3737,-44.0615,-9.4729
-5.4722,8.5468,-29.0715,4.5406
-0.922,8.5868,50.5078,7.1001
10.4612,15.2966,49.6026,10.3132
29.9355,4.0015,0.8984,-20.8354
6.0377,7.8539,-27.0656,-23.4428
11.1326,5.4164,-35.8188,-24.6887
8.624,13.9064,-32.7001,-24.7461
6.847,7.7023,43.1494,-34.081
23.526,5.1751,5.2554,18.7483
11.7511,15.2996,-1.983,18.6664
2.6802,9.3368,-4.0734,11.6702
-5.5665,21.593,-2.6062,10.2055
-23.3505,12.3694,20.2086,15.4599
19.9357,29.7193,17.6715,9.4443
-20.205,3.4025,6.0941,8.6781
-35.6124,13.2423,14.3911,14.2357
-35.2893,-0.6986,14.4994,12.0834
19.3384,31.0417,48.8029,-17.3596
46.3816,11.0316,44.7731,3.0309
-41.8613,-2.0829,12.9765,16.1825
-49.7834,-4.7764,9.3318,24.3424
-37.9782,-2.0097,24.706,6.5675
-35.9314,-3.0372,45.4589,-12.0025
-40.8127,-1.2726,19.0242,26.0957
-31.9231,-3.0994,37.7208,-5.8663
-27.1636,3.0754,46.8783,2.3762
33.0932,24.5245,10.5429,37.9021
-0.8973,-19.0509,35.5839,23.4642
-0.8009,-19.9537,8.6186,-27.7071
-10.5478,-19.5512,8.5319,-30.186
-40.5125,-26.9448,7.963,-23.8767
-40.2359,-29.0984,37.8286,22.4834
-34.1466,-21.7746,-17.6076,29.68
-32.6146,-16.0306,-29.1386,10.407
-33.5115,-28.3558,-39.5712,8.2442
-32.0636,-32.7865,-26.2476,23.4178
-32.5614,-27.9141,-51.5702,-6.6284
-32.7174,-34.222,-38.147,-1.416
-31.2758,-30.2095,-20.5827,24.0885
-30.0608,-36.5262,-3.8321,33.7176
-31.6785,-32.27,-24.9323,11.3854
-29.4454,-32.8682,-39.611,-0.7424
40.3311,-37.71,-28.383,9.0603
41.0853,8.2237,-39.7324,-1.6986
3.5791,19.7816,-28.399,6.6269
4.3333,16.8144,-30.3014,5.4622
-5.7166,8.8751,-19.9582,28.2713
16.4387,16.3896,8.3736,35.8736
44.668,-4.7773,-29.008,-2.1586
17.9379,9.5357,-11.1911,28.8615
7.9697,10.4647,-30.5736,-7.6295
9.8715,11.8875,-23.592,9.3859
30.3102,4.8553,42.2433,-35.6164
11.1939,17.2119,6.0818,19.4055
1.8257,29.1977,1.8293,17.2652
11.7585,17.7947,-1.5603,11.237
-8.6997,31.6004,27.7305,13.8264
-13.4537,19.5246,38.6831,9.5379
7.0051,37.5333,31.0124,4.8639
-13.4757,18.9447,18.4074,9.7366
-22.3639,21.779,38.7346,-8.1235
-32.0243,2.3096,44.472,-17.8315
-51.579,0.8023,54.0976,-15.4932
-51.3447,1.0804,57.2025,-12.2291
-45.8805,-16.9357,15.4533,18.1121
-48.9301,-7.795,10.3653,25.8571
-18.1616,27.539,46.8103,-17.599
7.0903,38.754,22.5418,27.7931
-13.5217,19.9952,-7.7529,17.2816
-37.4258,-11.2172,34.3515,4.0024
-27.7844,2.209,46.0726,9.5692
-3.5367,-18.5445,9.9203,37.839
7.464,-32.4471,30.8647,11.593
7.4338,-32.1727,0.6185,-19.7502
-1.5021,-19.947,5.6649,-24.8047
-27.5275,-20.4032,0.6173,-13.0997
-34.3884,-20.9629,-8.334,30.6301
-32.0107,-6.65,-36.3351,-3.9466
-40.7013,-10.5369,-36.4464,4.3493
-37.228,-25.145,-29.6368,10.3464
-34.6943,-21.8708,-50.5405,-4.4852
-38.6699,-32.7031,-52.1945,-2.7169
-37.1826,-35.5765,-39.0914,-3.4596
-36.9674,-35.3588,-28.8839,5.9143
-31.9854,-28.4897,-41.4602,-4.1567
-31.1443,-31.6035,-39.4638,-0.0065
