title,Fdc1 @ 350 K - multiple X-axis,,,,,,,,,,,,,
plot_type,multi-line,,,,,,,,,,,,,
x_label,Time (ns),,,,,,,,,,,,,
y_label,Secondary structure (%),,,,,,,,,,,,,
x_unit,ns,,,,,,,,,,,,,
y_unit,%,,,,,,,,,,,,,
color,#000000,,#FD5200,,#0000FF,,#FF8000,,#68D2FB,,#000080,#009F00,,#800080
label,None,,Parallel Beta-sheet,,Anti Beta-sheet,,3-10 helix,,Alpha helix,,Pi(3-14) helix,Turn,,Bend
axis_x,axis_y,axis_x,axis_y,axis_x,axis_y,axis_x,axis_y,axis_x,axis_y,axis_x,axis_y,axis_y,axis_x,axis_y
0.894,0.23669,0.894,0.06213,0.894,0.13511,0.894,0.02761,0.894,0.21893,0.894,0,0.15976,0.894,0.16371
0.896,0.23964,0.896,0.06607,0.896,0.13018,0.896,0.02761,0.896,0.21105,0.896,0,0.16864,0.896,0.16075
0.898,0.2357,0.898,0.06016,0.898,0.13708,0.898,0.04043,0.898,0.21696,0.898,0,0.15385,0.898,0.15976
0.9,0.23866,0.9,0.05917,0.9,0.13511,0.9,0.04043,0.9,0.21696,0.9,0.00493,0.14793,0.9,0.16075
0.902,0.23669,0.902,0.06312,0.902,0.13708,0.902,0.02761,0.902,0.21105,0.902,0,0.17258,0.902,0.15582
0.904,0.23669,0.904,0.06312,0.904,0.13905,0.904,0.03057,0.904,0.21105,0.904,0,0.16765,0.904,0.15582
0.906,0.23669,0.906,0.06213,0.906,0.13215,0.906,0.0286,0.906,0.20316,0.906,0.00493,0.16568,0.906,0.17061
0.908,0.24063,0.908,0.0572,0.908,0.13609,0.908,0.03452,0.908,0.20316,0.908,0.00493,0.16765,0.908,0.15976
0.91,0.2288,0.91,0.06312,0.91,0.13314,0.91,0.03353,0.91,0.21598,0.91,0.00493,0.16963,0.91,0.15483
0.912,0.24556,0.912,0.06312,0.912,0.13412,0.912,0.02071,0.912,0.21598,0.912,0.00493,0.1716,0.912,0.14793
0.914,0.24063,0.914,0.06016,0.914,0.14103,0.914,0.03254,0.914,0.2071,0.914,0.00493,0.16272,0.914,0.15483
0.916,0.23669,0.916,0.06016,0.916,0.13609,0.916,0.04734,0.916,0.19921,0.916,0,0.15582,0.916,0.16864
0.918,0.2357,0.918,0.05917,0.918,0.13708,0.918,0.03649,0.918,0.20611,0.918,0.00493,0.15779,0.918,0.16667
0.92,0.24162,0.92,0.06312,0.92,0.13609,0.92,0.03452,0.92,0.21006,0.92,0.00493,0.16174,0.92,0.15187
0.922,0.24162,0.922,0.0641,0.922,0.13412,0.922,0.02959,0.922,0.22091,0.922,0.00493,0.16469,0.922,0.14398
0.924,0.23669,0.924,0.06016,0.924,0.13609,0.924,0.04734,0.924,0.21499,0.924,0.00493,0.15089,0.924,0.15286
0.926,0.24458,0.926,0.05523,0.926,0.13905,0.926,0.04043,0.926,0.20809,0.926,0,0.16765,0.926,0.14892
0.928,0.23866,0.928,0.05917,0.928,0.13314,0.928,0.02761,0.928,0.214,0.928,0,0.17456,0.928,0.1568
0.93,0.2426,0.93,0.06312,0.93,0.13807,0.93,0.03945,0.93,0.19428,0.93,0,0.17061,0.93,0.15582
0.932,0.24556,0.932,0.06312,0.932,0.12919,0.932,0.03057,0.932,0.20611,0.932,0.00493,0.16864,0.932,0.15582
0.934,0.24063,0.934,0.06509,0.934,0.13116,0.934,0.04142,0.934,0.21006,0.934,0.00493,0.1568,0.934,0.15385
0.936,0.22682,0.936,0.06706,0.936,0.13807,0.936,0.02465,0.936,0.21105,0.936,0,0.17456,0.936,0.16174
0.938,0.25444,0.938,0.05523,0.938,0.13215,0.938,0.03748,0.938,0.20907,0.938,0.00493,0.15779,0.938,0.15286
0.94,0.24951,0.94,0.05917,0.94,0.12722,0.94,0.04339,0.94,0.21302,0.94,0,0.16075,0.94,0.15089
0.942,0.2357,0.942,0.06016,0.942,0.14103,0.942,0.0503,0.942,0.214,0.942,0,0.15878,0.942,0.14398
0.944,0.23471,0.944,0.06509,0.944,0.13511,0.944,0.03649,0.944,0.21302,0.944,0.00493,0.15089,0.944,0.16371
0.946,0.23471,0.946,0.06213,0.946,0.13708,0.946,0.0355,0.946,0.2071,0.946,0.00493,0.16568,0.946,0.1568
0.948,0.24951,0.948,0.06016,0.948,0.12525,0.948,0.03846,0.948,0.21006,0.948,0.00493,0.15582,0.948,0.15976
0.95,0.2357,0.95,0.0572,0.95,0.13511,0.95,0.03846,0.95,0.21499,0.95,0,0.16174,0.95,0.16075
0.952,0.24063,0.952,0.05819,0.952,0.13708,0.952,0.03156,0.952,0.21203,0.952,0.00493,0.16371,0.952,0.15582
0.954,0.2426,0.954,0.05819,0.954,0.13511,0.954,0.03353,0.954,0.20118,0.954,0.00493,0.16469,0.954,0.16371
0.956,0.23373,0.956,0.05424,0.956,0.14398,0.956,0.04043,0.956,0.20513,0.956,0.00493,0.16765,0.956,0.15385
0.958,0.24852,0.958,0.05917,0.958,0.13018,0.958,0.0355,0.958,0.20907,0.958,0,0.17258,0.958,0.14892
0.96,0.24556,0.96,0.05523,0.96,0.14004,0.96,0.0355,0.96,0.20611,0.96,0.00493,0.16272,0.96,0.15385
0.962,0.24359,0.962,0.05128,0.962,0.13905,0.962,0.03748,0.962,0.20907,0.962,0,0.1716,0.962,0.15187
0.964,0.23767,0.964,0.05819,0.964,0.13807,0.964,0.03748,0.964,0.21006,0.964,0,0.17061,0.964,0.15187
0.966,0.24063,0.966,0.06016,0.966,0.13609,0.966,0.03156,0.966,0.21302,0.966,0,0.16963,0.966,0.15286
0.968,0.24359,0.968,0.06016,0.968,0.13018,0.968,0.04536,0.968,0.21696,0.968,0,0.14892,0.968,0.15878
0.97,0.2357,0.97,0.05819,0.97,0.13905,0.97,0.04536,0.97,0.2071,0.97,0.00493,0.15582,0.97,0.15779
0.972,0.23767,0.972,0.06016,0.972,0.13511,0.972,0.03156,0.972,0.21203,0.972,0.00493,0.15976,0.972,0.16272
0.974,0.2426,0.974,0.05819,0.974,0.13511,0.974,0.03156,0.974,0.21105,0.974,0.00493,0.16765,0.974,0.15286
0.976,0.23964,0.976,0.06607,0.976,0.13314,0.976,0.04339,0.976,0.21696,0.976,0,0.15483,0.976,0.1499
0.978,0.24359,0.978,0.06213,0.978,0.13215,0.978,0.03649,0.978,0.22288,0.978,0,0.14004,0.978,0.16667
0.98,0.24359,0.98,0.06312,0.98,0.13412,0.98,0.04241,0.98,0.19132,0.98,0,0.17949,0.98,0.1499
0.982,0.2357,0.982,0.06312,0.982,0.13708,0.982,0.03057,0.982,0.21598,0.982,0,0.15779,0.982,0.16371
0.984,0.23866,0.984,0.05621,0.984,0.13215,0.984,0.04734,0.984,0.20316,0.984,0,0.16469,0.984,0.16174
0.986,0.23767,0.986,0.06213,0.986,0.13807,0.986,0.03452,0.986,0.21302,0.986,0.00493,0.14793,0.986,0.16568
0.988,0.23767,0.988,0.0641,0.988,0.13018,0.988,0.04438,0.988,0.214,0.988,0.00493,0.13905,0.988,0.16963
0.99,0.23964,0.99,0.0641,0.99,0.13412,0.99,0.03254,0.99,0.20414,0.99,0.00493,0.17554,0.99,0.14892
0.992,0.2426,0.992,0.05621,0.992,0.13905,0.992,0.04339,0.992,0.214,0.992,0,0.1499,0.992,0.15878
0.994,0.25148,0.994,0.05819,0.994,0.12623,0.994,0.03945,0.994,0.19428,0.994,0,0.17554,0.994,0.15878
0.996,0.24162,0.996,0.06213,0.996,0.13116,0.996,0.04043,0.996,0.21203,0.996,0,0.16469,0.996,0.15187
0.998,0.24655,0.998,0.05325,0.998,0.13905,0.998,0.04536,0.998,0.19132,0.998,0.00493,0.16864,0.998,0.15483
1,0.24753,1,0.05819,1,0.13807,1,0.03945,1,0.19921,1,0,0.17061,1,0.15089
1.002,0.23866,1.002,0.06016,1.002,0.13412,1.002,0.0355,1.002,0.20611,1.002,0,0.17653,1.002,0.15286
1.004,0.23767,1.004,0.06016,1.004,0.13708,1.004,0.03156,1.004,0.21203,1.004,0,0.16568,1.004,0.15976
1.006,0.23964,1.006,0.05128,1.006,0.14103,1.006,0.03846,1.006,0.20513,1.006,0,0.16568,1.006,0.16272
1.008,0.23077,1.008,0.06114,1.008,0.14103,1.008,0.01874,1.008,0.20513,1.008,0.00493,0.18146,1.008,0.16075
1.01,0.24458,1.01,0.05424,1.01,0.13215,1.01,0.04734,1.01,0.20316,1.01,0,0.17357,1.01,0.14892
1.012,0.2426,1.012,0.0572,1.012,0.13018,1.012,0.03846,1.012,0.19034,1.012,0,0.18442,1.012,0.16075
1.014,0.23767,1.014,0.06312,1.014,0.13807,1.014,0.02465,1.014,0.21006,1.014,0,0.17258,1.014,0.15779
1.016,0.23471,1.016,0.05917,1.016,0.13511,1.016,0.03057,1.016,0.22288,1.016,0,0.16469,1.016,0.1568
1.018,0.24359,1.018,0.06016,1.018,0.13412,1.018,0.03254,1.018,0.20118,1.018,0,0.17258,1.018,0.15976
1.02,0.24753,1.02,0.05621,1.02,0.13609,1.02,0.04931,1.02,0.20907,1.02,0,0.14694,1.02,0.15878
1.022,0.25049,1.022,0.05917,1.022,0.12821,1.022,0.03748,1.022,0.20316,1.022,0,0.16469,1.022,0.16075
1.024,0.23767,1.024,0.05819,1.024,0.12919,1.024,0.0355,1.024,0.20513,1.024,0,0.17653,1.024,0.16174
1.026,0.23866,1.026,0.05523,1.026,0.13314,1.026,0.03353,1.026,0.20316,1.026,0.00493,0.17949,1.026,0.15582
1.028,0.23866,1.028,0.05917,1.028,0.12722,1.028,0.03057,1.028,0.21795,1.028,0,0.16864,1.028,0.16174
1.03,0.25148,1.03,0.05917,1.03,0.13018,1.03,0.03156,1.03,0.20611,1.03,0,0.17949,1.03,0.14596
1.032,0.25444,1.032,0.05424,1.032,0.13412,1.032,0.03748,1.032,0.19921,1.032,0,0.16469,1.032,0.15976
1.034,0.25542,1.034,0.05819,1.034,0.12623,1.034,0.03846,1.034,0.2071,1.034,0.00493,0.16864,1.034,0.14497
1.036,0.24063,1.036,0.05917,1.036,0.13609,1.036,0.03748,1.036,0.22091,1.036,0,0.15878,1.036,0.15089
1.038,0.24753,1.038,0.05523,1.038,0.13708,1.038,0.03057,1.038,0.20316,1.038,0.00493,0.18442,1.038,0.14103
1.04,0.25049,1.04,0.06114,1.04,0.12623,1.04,0.03353,1.04,0.21203,1.04,0,0.17357,1.04,0.14694
1.042,0.24359,1.042,0.06114,1.042,0.12821,1.042,0.03156,1.042,0.21499,1.042,0,0.16963,1.042,0.15483
1.044,0.24458,1.044,0.05128,1.044,0.14004,1.044,0.04339,1.044,0.20217,1.044,0,0.16174,1.044,0.16075
1.046,0.25641,1.046,0.05621,1.046,0.13215,1.046,0.04339,1.046,0.19625,1.046,0,0.16667,1.046,0.15286
1.048,0.25148,1.048,0.06312,1.048,0.12722,1.048,0.03057,1.048,0.20414,1.048,0,0.17554,1.048,0.15187
1.05,0.26529,1.05,0.05325,1.05,0.12623,1.05,0.04043,1.05,0.19921,1.05,0.00493,0.16174,1.05,0.15286
1.052,0.25345,1.052,0.05621,1.052,0.13314,1.052,0.04142,1.052,0.21105,1.052,0,0.15779,1.052,0.15089
1.054,0.24655,1.054,0.06114,1.054,0.13314,1.054,0.03353,1.054,0.20809,1.054,0.00493,0.16667,1.054,0.1499
1.056,0.25148,1.056,0.05917,1.056,0.12426,1.056,0.03649,1.056,0.21105,1.056,0,0.16568,1.056,0.15582
1.058,0.2426,1.058,0.05819,1.058,0.13314,1.058,0.03945,1.058,0.2071,1.058,0.00493,0.16371,1.058,0.15483
1.06,0.25148,1.06,0.06016,1.06,0.13018,1.06,0.03254,1.06,0.2002,1.06,0,0.18047,1.06,0.14892
1.062,0.24556,1.062,0.06312,1.062,0.13018,1.062,0.02564,1.062,0.20414,1.062,0.00493,0.17554,1.062,0.15483
1.064,0.25641,1.064,0.05621,1.064,0.12919,1.064,0.03057,1.064,0.19428,1.064,0.00493,0.17456,1.064,0.15779
1.066,0.23669,1.066,0.05917,1.066,0.14497,1.066,0.03846,1.066,0.20414,1.066,0,0.16272,1.066,0.15779
1.068,0.24655,1.068,0.05621,1.068,0.13609,1.068,0.03452,1.068,0.20316,1.068,0,0.18047,1.068,0.14694
1.07,0.25444,1.07,0.05523,1.07,0.13314,1.07,0.03254,1.07,0.21203,1.07,0,0.16174,1.07,0.15483
1.072,0.25444,1.072,0.0572,1.072,0.12821,1.072,0.0355,1.072,0.22682,1.072,0,0.15582,1.072,0.14596
1.074,0.24655,1.074,0.05621,1.074,0.14004,1.074,0.02959,1.074,0.21696,1.074,0.00493,0.16075,1.074,0.14892
1.076,0.25444,1.076,0.05621,1.076,0.13116,1.076,0.02663,1.076,0.21302,1.076,0.00493,0.16469,1.076,0.15286
1.078,0.2574,1.078,0.05819,1.078,0.13018,1.078,0.0286,1.078,0.20809,1.078,0.00493,0.16272,1.078,0.15385
1.08,0.25247,1.08,0.05917,1.08,0.13314,1.08,0.02465,1.08,0.21006,1.08,0.00493,0.17357,1.08,0.14596
1.082,0.24852,1.082,0.05819,1.082,0.13609,1.082,0.04635,1.082,0.19724,1.082,0.00493,0.16667,1.082,0.14596
1.084,0.24556,1.084,0.05621,1.084,0.13807,1.084,0.0217,1.084,0.2002,1.084,0.00493,0.18639,1.084,0.15089
1.086,0.24655,1.086,0.06607,1.086,0.13412,1.086,0.0217,1.086,0.19034,1.086,0.00493,0.18738,1.086,0.15286
1.088,0.25049,1.088,0.05917,1.088,0.13215,1.088,0.05128,1.088,0.20118,1.088,0.00493,0.1568,1.088,0.14793
1.09,0.23866,1.09,0.06607,1.09,0.13314,1.09,0.03846,1.09,0.21598,1.09,0.00493,0.15187,1.09,0.15483
1.092,0.2426,1.092,0.05424,1.092,0.13905,1.092,0.03254,1.092,0.20316,1.092,0.00493,0.1716,1.092,0.15582
1.094,0.24852,1.094,0.06213,1.094,0.12919,1.094,0.04832,1.094,0.18836,1.094,0,0.17061,1.094,0.1568
1.096,0.24852,1.096,0.05325,1.096,0.13609,1.096,0.02959,1.096,0.20809,1.096,0.00493,0.16568,1.096,0.15779
1.098,0.24162,1.098,0.06114,1.098,0.13116,1.098,0.03156,1.098,0.20513,1.098,0,0.1785,1.098,0.15483
1.1,0.24458,1.1,0.06213,1.1,0.13314,1.1,0.0286,1.1,0.20611,1.1,0,0.1785,1.1,0.15089
1.102,0.2426,1.102,0.0641,1.102,0.13511,1.102,0.04339,1.102,0.20907,1.102,0,0.16272,1.102,0.14694
1.104,0.24359,1.104,0.06312,1.104,0.13905,1.104,0.0286,1.104,0.21203,1.104,0.00493,0.17061,1.104,0.14201
1.106,0.24655,1.106,0.06213,1.106,0.13905,1.106,0.0355,1.106,0.19724,1.106,0.00493,0.17258,1.106,0.14596
1.108,0.24162,1.108,0.06312,1.108,0.14201,1.108,0.03156,1.108,0.20809,1.108,0.00493,0.15779,1.108,0.15483
1.11,0.24359,1.11,0.06213,1.11,0.13412,1.11,0.02761,1.11,0.21006,1.11,0.00493,0.16568,1.11,0.15582
1.112,0.23964,1.112,0.06016,1.112,0.13412,1.112,0.0286,1.112,0.21795,1.112,0.00493,0.15385,1.112,0.16469
1.114,0.24753,1.114,0.06213,1.114,0.13018,1.114,0.02761,1.114,0.20118,1.114,0.00493,0.1785,1.114,0.15187
1.116,0.23866,1.116,0.06706,1.116,0.13116,1.116,0.0286,1.116,0.20316,1.116,0,0.18047,1.116,0.15483
1.118,0.24162,1.118,0.06213,1.118,0.12919,1.118,0.03452,1.118,0.20316,1.118,0.00493,0.17653,1.118,0.15187
1.12,0.24753,1.12,0.06213,1.12,0.12821,1.12,0.04438,1.12,0.20217,1.12,0,0.16568,1.12,0.15385
1.122,0.24162,1.122,0.06607,1.122,0.13412,1.122,0.04043,1.122,0.19329,1.122,0,0.18738,1.122,0.14103
1.124,0.24458,1.124,0.06213,1.124,0.12919,1.124,0.03057,1.124,0.21992,1.124,0,0.15582,1.124,0.16174
1.126,0.2426,1.126,0.06607,1.126,0.13116,1.126,0.01775,1.126,0.21893,1.126,0,0.16371,1.126,0.16371
1.128,0.24852,1.128,0.06213,1.128,0.13215,1.128,0.03846,1.128,0.20907,1.128,0,0.17456,1.128,0.13905
1.13,0.24655,1.13,0.06016,1.13,0.13609,1.13,0.03156,1.13,0.19527,1.13,0,0.18836,1.13,0.14596
1.132,0.24359,1.132,0.05819,1.132,0.13511,1.132,0.03156,1.132,0.22091,1.132,0,0.15582,1.132,0.15878
1.134,0.25049,1.134,0.05424,1.134,0.13314,1.134,0.03748,1.134,0.2071,1.134,0.00493,0.16371,1.134,0.15286
1.136,0.23964,1.136,0.06114,1.136,0.13609,1.136,0.03156,1.136,0.20611,1.136,0.00493,0.17061,1.136,0.15385
1.138,0.25049,1.138,0.06016,1.138,0.13412,1.138,0.03452,1.138,0.2071,1.138,0.00493,0.15089,1.138,0.16174
1.14,0.24359,1.14,0.05917,1.14,0.13412,1.14,0.03156,1.14,0.20316,1.14,0,0.16864,1.14,0.16371
1.142,0.24951,1.142,0.05917,1.142,0.13215,1.142,0.05128,1.142,0.22189,1.142,0.00493,0.13609,1.142,0.14892
1.144,0.2426,1.144,0.06312,1.144,0.13116,1.144,0.03353,1.144,0.20118,1.144,0.00493,0.16568,1.144,0.16174
1.146,0.2426,1.146,0.05621,1.146,0.13905,1.146,0.03748,1.146,0.2071,1.146,0.00986,0.15089,1.146,0.16075
1.148,0.23767,1.148,0.06016,1.148,0.13314,1.148,0.02564,1.148,0.20316,1.148,0.00493,0.17949,1.148,0.15976
1.15,0.24162,1.15,0.06114,1.15,0.14004,1.15,0.03748,1.15,0.2071,1.15,0,0.16765,1.15,0.14892
1.152,0.24458,1.152,0.05424,1.152,0.13609,1.152,0.0286,1.152,0.20513,1.152,0,0.18047,1.152,0.15483
1.154,0.24753,1.154,0.06114,1.154,0.13609,1.154,0.02959,1.154,0.20316,1.154,0.00493,0.17258,1.154,0.14892
1.156,0.23866,1.156,0.0641,1.156,0.13314,1.156,0.03748,1.156,0.21006,1.156,0.00493,0.16568,1.156,0.1499
1.158,0.23964,1.158,0.06509,1.158,0.13412,1.158,0.03748,1.158,0.21302,1.158,0.00493,0.15878,1.158,0.15089
1.16,0.24063,1.16,0.06312,1.16,0.13412,1.16,0.0286,1.16,0.20611,1.16,0.00493,0.17357,1.16,0.15286
1.162,0.23964,1.162,0.0641,1.162,0.13708,1.162,0.02465,1.162,0.21302,1.162,0,0.18047,1.162,0.14497
1.164,0.24162,1.164,0.06213,1.164,0.13412,1.164,0.04832,1.164,0.20611,1.164,0,0.16864,1.164,0.143
1.166,0.24753,1.166,0.05819,1.166,0.13116,1.166,0.03254,1.166,0.20809,1.166,0.00493,0.16371,1.166,0.15779
1.168,0.24063,1.168,0.06114,1.168,0.13511,1.168,0.03156,1.168,0.214,1.168,0.00493,0.15779,1.168,0.15878
1.17,0.23964,1.17,0.06509,1.17,0.13018,1.17,0.04438,1.17,0.20414,1.17,0,0.16864,1.17,0.15187
1.172,0.24753,1.172,0.06016,1.172,0.13018,1.172,0.04043,1.172,0.20513,1.172,0,0.16469,1.172,0.15582
1.174,0.25049,1.174,0.06509,1.174,0.12327,1.174,0.04241,1.174,0.2071,1.174,0,0.16371,1.174,0.15187
1.176,0.25049,1.176,0.06114,1.176,0.13018,1.176,0.03057,1.176,0.21006,1.176,0,0.17061,1.176,0.15089
1.178,0.24753,1.178,0.0641,1.178,0.12919,1.178,0.03254,1.178,0.20217,1.178,0,0.17653,1.178,0.15187
1.18,0.25049,1.18,0.05819,1.18,0.13116,1.18,0.04142,1.18,0.20907,1.18,0,0.16568,1.18,0.14793
1.182,0.23866,1.182,0.06706,1.182,0.13215,1.182,0.04241,1.182,0.20513,1.182,0.00493,0.16075,1.182,0.15286
1.184,0.24655,1.184,0.0572,1.184,0.13511,1.184,0.02663,1.184,0.22091,1.184,0,0.16667,1.184,0.15089
1.186,0.23669,1.186,0.06114,1.186,0.13314,1.186,0.03156,1.186,0.20809,1.186,0.00493,0.17554,1.186,0.15286
1.188,0.2426,1.188,0.06016,1.188,0.13708,1.188,0.0286,1.188,0.19921,1.188,0.00493,0.17751,1.188,0.15385
1.19,0.24359,1.19,0.06607,1.19,0.13116,1.19,0.04438,1.19,0.214,1.19,0.00493,0.14596,1.19,0.15385
1.192,0.23767,1.192,0.06114,1.192,0.13609,1.192,0.04142,1.192,0.20809,1.192,0,0.16568,1.192,0.15385
1.194,0.24063,1.194,0.06016,1.194,0.13708,1.194,0.02761,1.194,0.214,1.194,0.00493,0.16667,1.194,0.15286
1.196,0.24655,1.196,0.05424,1.196,0.13511,1.196,0.01874,1.196,0.2288,1.196,0.00493,0.16864,1.196,0.14694
1.198,0.23866,1.198,0.06312,1.198,0.13215,1.198,0.03649,1.198,0.21203,1.198,0,0.17061,1.198,0.15089
1.2,0.24951,1.2,0.06312,1.2,0.13314,1.2,0.04339,1.2,0.20809,1.2,0.00493,0.15779,1.2,0.14398
1.202,0.24753,1.202,0.05819,1.202,0.13314,1.202,0.03748,1.202,0.19822,1.202,0.00493,0.16272,1.202,0.16174
1.204,0.2426,1.204,0.06114,1.204,0.13708,1.204,0.03945,1.204,0.20513,1.204,0.00493,0.15779,1.204,0.15582
1.206,0.24753,1.206,0.05819,1.206,0.12722,1.206,0.03846,1.206,0.21203,1.206,0,0.15976,1.206,0.16075
1.208,0.24753,1.208,0.05523,1.208,0.13215,1.208,0.02959,1.208,0.21499,1.208,0.00493,0.16174,1.208,0.15779
1.21,0.23767,1.21,0.05819,1.21,0.13708,1.21,0.03353,1.21,0.214,1.21,0,0.1716,1.21,0.15187
1.212,0.24951,1.212,0.05917,1.212,0.13215,1.212,0.03748,1.212,0.20217,1.212,0,0.16765,1.212,0.15582
1.214,0.2426,1.214,0.05523,1.214,0.13708,1.214,0.03156,1.214,0.21203,1.214,0.00493,0.16272,1.214,0.15779
1.216,0.23964,1.216,0.0641,1.216,0.13609,1.216,0.04438,1.216,0.19034,1.216,0.00493,0.16371,1.216,0.16075
1.218,0.24852,1.218,0.06114,1.218,0.12525,1.218,0.04142,1.218,0.19921,1.218,0,0.17653,1.218,0.15187
1.22,0.23471,1.22,0.06016,1.22,0.14004,1.22,0.03748,1.22,0.20611,1.22,0.00493,0.16568,1.22,0.15483
1.222,0.24162,1.222,0.06016,1.222,0.13314,1.222,0.03945,1.222,0.19921,1.222,0,0.18245,1.222,0.14793
1.224,0.24359,1.224,0.05621,1.224,0.13511,1.224,0.03945,1.224,0.20809,1.224,0.00493,0.15779,1.224,0.15878
1.226,0.2426,1.226,0.06706,1.226,0.13116,1.226,0.02761,1.226,0.18836,1.226,0.00493,0.19034,1.226,0.15187
1.228,0.23471,1.228,0.0641,1.228,0.13116,1.228,0.0286,1.228,0.19625,1.228,0,0.1785,1.228,0.17061
1.23,0.25542,1.23,0.05621,1.23,0.12722,1.23,0.04043,1.23,0.21598,1.23,0,0.15878,1.23,0.1499
1.232,0.23866,1.232,0.05917,1.232,0.13807,1.232,0.03156,1.232,0.19625,1.232,0.00493,0.17949,1.232,0.15582
1.234,0.25247,1.234,0.0572,1.234,0.13116,1.234,0.03057,1.234,0.21006,1.234,0.00493,0.16568,1.234,0.15187
1.236,0.23767,1.236,0.05424,1.236,0.13609,1.236,0.03057,1.236,0.20316,1.236,0,0.18639,1.236,0.15582
1.238,0.23767,1.238,0.06312,1.238,0.12919,1.238,0.03452,1.238,0.19132,1.238,0.00493,0.18343,1.238,0.15976
1.24,0.24162,1.24,0.06114,1.24,0.13215,1.24,0.03945,1.24,0.21992,1.24,0.00493,0.15385,1.24,0.15089
1.242,0.24162,1.242,0.06114,1.242,0.14201,1.242,0.03156,1.242,0.20414,1.242,0.00493,0.18047,1.242,0.13807
1.244,0.23866,1.244,0.06114,1.244,0.13807,1.244,0.03353,1.244,0.20513,1.244,0.00493,0.17258,1.244,0.1499
1.246,0.24359,1.246,0.05917,1.246,0.13412,1.246,0.04043,1.246,0.20414,1.246,0,0.17554,1.246,0.14694
1.248,0.24359,1.248,0.05917,1.248,0.13314,1.248,0.02465,1.248,0.20414,1.248,0.00493,0.16963,1.248,0.16469
1.25,0.23866,1.25,0.06312,1.25,0.13412,1.25,0.02959,1.25,0.21499,1.25,0,0.1716,1.25,0.15187
1.252,0.24458,1.252,0.06114,1.252,0.12821,1.252,0.03452,1.252,0.21105,1.252,0.00493,0.16272,1.252,0.1568
1.254,0.24162,1.254,0.06114,1.254,0.13314,1.254,0.02268,1.254,0.21992,1.254,0.00493,0.16568,1.254,0.15483
1.256,0.23767,1.256,0.05523,1.256,0.13708,1.256,0.03748,1.256,0.214,1.256,0,0.16963,1.256,0.15286
1.258,0.24951,1.258,0.06114,1.258,0.13215,1.258,0.03452,1.258,0.20513,1.258,0,0.17061,1.258,0.15089
1.26,0.24063,1.26,0.06312,1.26,0.13412,1.26,0.03452,1.26,0.20414,1.26,0.00493,0.16864,1.26,0.15385
1.262,0.24162,1.262,0.0572,1.262,0.13708,1.262,0.04438,1.262,0.20611,1.262,0.00493,0.15483,1.262,0.15779
1.264,0.23964,1.264,0.05917,1.264,0.12919,1.264,0.0286,1.264,0.20414,1.264,0.00493,0.16963,1.264,0.16864
1.266,0.2426,1.266,0.06509,1.266,0.13609,1.266,0.02465,1.266,0.21203,1.266,0.00493,0.16963,1.266,0.14892
1.268,0.23669,1.268,0.05917,1.268,0.13708,1.268,0.03254,1.268,0.22485,1.268,0,0.1568,1.268,0.1568
1.27,0.23176,1.27,0.06213,1.27,0.14004,1.27,0.02465,1.27,0.21203,1.27,0,0.16963,1.27,0.16371
1.272,0.24162,1.272,0.0641,1.272,0.13018,1.272,0.03649,1.272,0.21006,1.272,0.00493,0.15483,1.272,0.16174
1.274,0.23373,1.274,0.06312,1.274,0.14004,1.274,0.03156,1.274,0.214,1.274,0,0.16667,1.274,0.15483
1.276,0.24556,1.276,0.06016,1.276,0.12919,1.276,0.03353,1.276,0.21105,1.276,0.00493,0.16272,1.276,0.1568
1.278,0.23866,1.278,0.06213,1.278,0.13708,1.278,0.02367,1.278,0.21696,1.278,0.00493,0.15878,1.278,0.16174
1.28,0.24753,1.28,0.05424,1.28,0.13511,1.28,0.04142,1.28,0.21105,1.28,0,0.17061,1.28,0.14398
1.282,0.2357,1.282,0.06805,1.282,0.13807,1.282,0.03945,1.282,0.21203,1.282,0,0.15779,1.282,0.15286
1.284,0.25148,1.284,0.05819,1.284,0.13018,1.284,0.04339,1.284,0.22387,1.284,0,0.14497,1.284,0.15187
1.286,0.24063,1.286,0.06805,1.286,0.13215,1.286,0.03748,1.286,0.21795,1.286,0.00493,0.14596,1.286,0.1568
1.288,0.24655,1.288,0.05227,1.288,0.13609,1.288,0.02268,1.288,0.21992,1.288,0.00493,0.16667,1.288,0.15483
1.29,0.2357,1.29,0.05819,1.29,0.14103,1.29,0.03649,1.29,0.21992,1.29,0.00493,0.15582,1.29,0.15187
1.292,0.23767,1.292,0.06509,1.292,0.13412,1.292,0.02564,1.292,0.21499,1.292,0.00493,0.16469,1.292,0.1568
1.294,0.24063,1.294,0.06016,1.294,0.13215,1.294,0.03452,1.294,0.22091,1.294,0.00493,0.15286,1.294,0.15779
1.296,0.24162,1.296,0.06114,1.296,0.13609,1.296,0.02564,1.296,0.21499,1.296,0.00493,0.15582,1.296,0.16371
1.298,0.23866,1.298,0.06706,1.298,0.13905,1.298,0.03156,1.298,0.20217,1.298,0,0.16667,1.298,0.15878
1.3,0.23964,1.3,0.06016,1.3,0.13609,1.3,0.03748,1.3,0.21105,1.3,0,0.15976,1.3,0.15976
1.302,0.23866,1.302,0.05523,1.302,0.13609,1.302,0.04142,1.302,0.20118,1.302,0.00493,0.16568,1.302,0.16075
