title,Fdc1 @ 350 K - multiple X-axis,,,,,,,,,,,,,
plot_type,multi-line,,,,,,,,,,,,,
x_label,Time (ns),,,,,,,,,,,,,
y_label,Secondary structure (%),,,,,,,,,,,,,
x_unit,ns,,,,,,,,,,,,,
y_unit,%,,,,,,,,,,,,,
color,#000000,,#FD5200,,#0000FF,,#FF8000,,#68D2FB,,#000080,#009F00,,#800080
label,None,,Parallel Beta-sheet,,Anti Beta-sheet,,3-10 helix,,Alpha helix,,Pi(3-14) helix,Turn,,Bend
axis_x,axis_y,axis_x,axis_y,axis_x,axis_y,axis_x,axis_y,axis_x,axis_y,axis_x,axis_y,axis_y,axis_x,axis_y
0.09,0.23471,0.09,0.06706,0.09,0.13609,0.09,0.04142,0.09,0.22682,0.09,0,0.14497,0.09,0.15286
0.092,0.23176,0.092,0.06805,0.092,0.13609,0.092,0.03748,0.092,0.22781,0.092,0,0.143,0.092,0.15976
0.094,0.22978,0.094,0.06607,0.094,0.14398,0.094,0.03452,0.094,0.22781,0.094,0,0.15187,0.094,0.1499
0.096,0.2426,0.096,0.05917,0.096,0.13511,0.096,0.02367,0.096,0.22387,0.096,0,0.16469,0.096,0.15483
0.098,0.24063,0.098,0.06312,0.098,0.13905,0.098,0.03353,0.098,0.22584,0.098,0,0.15286,0.098,0.14892
0.1,0.23471,0.1,0.06213,0.1,0.13905,0.1,0.02465,0.1,0.22387,0.1,0,0.16075,0.1,0.15878
0.102,0.25049,0.102,0.04832,0.102,0.14497,0.102,0.02367,0.102,0.22288,0.102,0,0.16272,0.102,0.15089
0.104,0.23669,0.104,0.06312,0.104,0.13905,0.104,0.03748,0.104,0.2288,0.104,0,0.14793,0.104,0.15089
0.106,0.23373,0.106,0.06312,0.106,0.143,0.106,0.02959,0.106,0.22485,0.106,0,0.16371,0.106,0.14596
0.108,0.23866,0.108,0.06114,0.108,0.14398,0.108,0.02959,0.108,0.23077,0.108,0,0.14201,0.108,0.15779
0.11,0.23767,0.11,0.05819,0.11,0.14596,0.11,0.03254,0.11,0.23767,0.11,0,0.14892,0.11,0.143
0.112,0.23176,0.112,0.05917,0.112,0.14201,0.112,0.03057,0.112,0.24162,0.112,0,0.14497,0.112,0.15385
0.114,0.24063,0.114,0.06805,0.114,0.13807,0.114,0.02663,0.114,0.23866,0.114,0,0.14398,0.114,0.14793
0.116,0.24359,0.116,0.0641,0.116,0.13708,0.116,0.04339,0.116,0.23274,0.116,0,0.13412,0.116,0.14892
0.118,0.23866,0.118,0.06509,0.118,0.13609,0.118,0.03846,0.118,0.2288,0.118,0,0.1568,0.118,0.14004
0.12,0.24162,0.12,0.05819,0.12,0.14694,0.12,0.03353,0.12,0.22288,0.12,0,0.15089,0.12,0.1499
0.122,0.2426,0.122,0.06213,0.122,0.13905,0.122,0.03452,0.122,0.22978,0.122,0,0.15286,0.122,0.143
0.124,0.24162,0.124,0.05523,0.124,0.14103,0.124,0.0286,0.124,0.23077,0.124,0,0.14892,0.124,0.15779
0.126,0.25148,0.126,0.05917,0.126,0.14004,0.126,0.02268,0.126,0.22288,0.126,0,0.15187,0.126,0.15582
0.128,0.2426,0.128,0.06016,0.128,0.13905,0.128,0.03945,0.128,0.21105,0.128,0,0.16075,0.128,0.15089
0.13,0.22781,0.13,0.06213,0.13,0.143,0.13,0.03649,0.13,0.22781,0.13,0,0.14694,0.13,0.15976
0.132,0.23373,0.132,0.06213,0.132,0.14004,0.132,0.0355,0.132,0.22485,0.132,0,0.14892,0.132,0.15878
0.134,0.24359,0.134,0.06114,0.134,0.14004,0.134,0.0355,0.134,0.22288,0.134,0.00493,0.14103,0.134,0.15483
