title,p27 - MD results - multiple x,,,,,,
plot_type,grid-line,,,,,,
x_label,Time (ns),,,,,,
color,#000000,,#FD5200,,#0000FF,,#FF8000
label,Radius of Gyration,,Surface Area,,PA,,EHSS
y_labels,Rg (AA),,SASA (A^2),,CCS (A^2),,CCS (A^2)
label_unit,A,,A2,,A2,,A2
axis_x,axis_y,axis_x,axis_y,axis_x,axis_y,axis_x,axis_y
0.164,31.3543,0.164,24710.2157,0.164,4690.74,0.164,6176.9
0.166,31.3513,0.166,25152.2877,0.166,4697.62,0.166,6176.68
0.168,31.3801,0.168,25171.2499,0.168,4708.33,0.168,6197.97
0.17,31.3782,0.17,24689.2303,0.17,4696.1,0.17,6178.68
0.172,31.4329,0.172,25192.9047,0.172,4714.62,0.172,6208.43
0.174,31.368,0.174,24906.1794,0.174,4697.99,0.174,6180.68
0.176,31.3676,0.176,24973.0144,0.176,4702.1,0.176,6186.08
0.178,31.3969,0.178,25065.1692,0.178,4700.31,0.178,6176.69
0.18,31.4529,0.18,25018.0805,0.18,4702.19,0.18,6186.36
0.182,31.4115,0.182,25120.719,0.182,4709.11,0.182,6192.56
0.184,31.406,0.184,24380.8873,0.184,4695.99,0.184,6178.28
0.186,31.4403,0.186,24781.9613,0.186,4713.59,0.186,6193.75
0.188,31.4274,0.188,24678.5328,0.188,4705.43,0.188,6183.91
0.19,31.4322,0.19,25142.7512,0.19,4706.79,0.19,6192.13
0.192,31.4114,0.192,24675.6789,0.192,4702.83,0.192,6179.73
0.194,31.4569,0.194,24860.6105,0.194,4716.39,0.194,6204.47
0.196,31.5074,0.196,25398.8673,0.196,4716.68,0.196,6208.46
0.198,31.4671,0.198,24581.8345,0.198,4703.28,0.198,6186.97
0.2,31.4577,0.2,24684.9722,0.2,4712.06,0.2,6199.97
0.202,31.4329,0.202,24779.3974,0.202,4712.08,0.202,6203.81
0.204,31.3511,0.204,24567.0363,0.204,4702.63,0.204,6185.66
0.206,31.3388,0.206,24982.6542,0.206,4705.13,0.206,6189.32
0.208,31.3065,0.208,24823.7462,0.208,4707.43,0.208,6194.84
0.21,31.4536,0.21,24894.8063,0.21,4716.91,0.21,6204.01
0.212,31.4367,0.212,24948.4777,0.212,4711.46,0.212,6205.11
0.214,31.4348,0.214,24798.5975,0.214,4720.45,0.214,6207.2
0.216,31.434,0.216,24918.3676,0.216,4708.6,0.216,6197.43
0.218,31.3917,0.218,24683.7031,0.218,4702.16,0.218,6182.04
0.22,31.3408,0.22,24701.4583,0.22,4690.94,0.22,6169.62
0.222,31.3575,0.222,25172.0017,0.222,4702.21,0.222,6185.85
0.224,31.4407,0.224,25366.1131,0.224,4704.63,0.224,6183.71
0.226,31.4289,0.226,24664.8482,0.226,4703.76,0.226,6188.47
0.228,31.4238,0.228,24851.4879,0.228,4702.62,0.228,6186.32
0.23,31.4147,0.23,24735.5595,0.23,4704.65,0.23,6185.49
0.232,31.4591,0.232,25218.6718,0.232,4706.56,0.232,6184.4
0.234,31.4626,0.234,25343.7111,0.234,4709.71,0.234,6198.56
0.236,31.4892,0.236,25359.3569,0.236,4718.97,0.236,6205.25
0.238,31.4973,0.238,25210.2388,0.238,4713.98,0.238,6203.82
0.24,31.4918,0.24,25287.1331,0.24,4719.53,0.24,6208.05
0.242,31.5924,0.242,25287.1306,0.242,4726.61,0.242,6213.44
0.244,31.5464,0.244,25019.5033,0.244,4712.26,0.244,6203.4
0.246,31.5157,0.246,25144.3186,0.246,4713.31,0.246,6201.9
0.248,31.5373,0.248,25159.1013,0.248,4726.91,0.248,6218.58
0.25,31.5229,0.25,24817.7871,0.25,4713.33,0.25,6192.91
0.252,31.536,0.252,25036.9948,0.252,4710.07,0.252,6189.16
0.254,31.5388,0.254,24768.887,0.254,4720.92,0.254,6217.02
0.256,31.5595,0.256,24999.9901,0.256,4723.66,0.256,6221.26
0.258,31.5762,0.258,25625.4509,0.258,4725.28,0.258,6225.5
0.26,31.5305,0.26,24975.0302,0.26,4714.61,0.26,6198.38
0.262,31.4659,0.262,25366.3644,0.262,4716.46,0.262,6204.04
0.264,31.484,0.264,25446.2665,0.264,4721.92,0.264,6215.7
0.266,31.4605,0.266,25044.5769,0.266,4721.82,0.266,6221.41
0.268,31.3944,0.268,25228.3674,0.268,4707.85,0.268,6194.38
0.27,31.5339,0.27,25445.4062,0.27,4730.39,0.27,6233.98
0.272,31.5525,0.272,24710.5609,0.272,4710.37,0.272,6199.67
0.274,31.5146,0.274,25046.1666,0.274,4721.17,0.274,6223.13
0.276,31.5689,0.276,25115.9422,0.276,4723.6,0.276,6209.67
0.278,31.568,0.278,25697.645,0.278,4724.26,0.278,6220
0.28,31.517,0.28,25220.1799,0.28,4720.95,0.28,6213.6
0.282,31.4964,0.282,24815.1188,0.282,4716.32,0.282,6209.99
0.284,31.6166,0.284,25513.6572,0.284,4731.77,0.284,6226.32
0.286,31.5882,0.286,24871.5425,0.286,4726.1,0.286,6227.26
0.288,31.6217,0.288,25374.3716,0.288,4731.47,0.288,6236.26
0.29,31.5992,0.29,25384.9157,0.29,4729.95,0.29,6227.62
0.292,31.6148,0.292,24785.1896,0.292,4732.24,0.292,6234.24
0.294,31.6902,0.294,25011.1562,0.294,4725.98,0.294,6231.15
0.296,31.688,0.296,25214.3181,0.296,4732.2,0.296,6231.27
0.298,31.6566,0.298,24977.6673,0.298,4733.53,0.298,6230.3
0.3,31.6655,0.3,24811.0897,0.3,4734.96,0.3,6235.01
0.302,31.5481,0.302,25174.5054,0.302,4723.57,0.302,6225
0.304,31.5736,0.304,25639.0684,0.304,4722.98,0.304,6225.88
0.306,31.5207,0.306,25350.996,0.306,4721.74,0.306,6220.25
0.308,31.4931,0.308,25241.2478,0.308,4721.08,0.308,6219.46
0.31,31.5101,0.31,25013.4686,0.31,4716.54,0.31,6213.01
0.312,31.4725,0.312,24776.4341,0.312,4719.84,0.312,6213.98
0.314,31.4576,0.314,24931.308,0.314,4708.45,0.314,6200.73
0.316,31.546,0.316,25345.3196,0.316,4723.46,0.316,6220.71
0.318,31.5013,0.318,24972.3986,0.318,4725.72,0.318,6220.42
0.32,31.5664,0.32,24565.6604,0.32,4716.8,0.32,6215.79
0.322,31.6531,0.322,25465.9965,0.322,4742.74,0.322,6254.34
0.324,31.5938,0.324,24994.3505,0.324,4719.64,0.324,6215.38
0.326,31.6295,0.326,24983.2409,0.326,4730.11,0.326,6230.8
0.328,31.642,0.328,25140.4472,0.328,4720.27,0.328,6213.64
0.33,31.5701,0.33,25258.7884,0.33,4711.34,0.33,6201.45
0.332,31.6126,0.332,25299.6026,0.332,4724.97,0.332,6226.21
0.334,31.6501,0.334,24773.9722,0.334,4721.77,0.334,6215.08
0.336,31.612,0.336,24915.6104,0.336,4720.67,0.336,6226.05
0.338,31.5642,0.338,24854.946,0.338,4718.15,0.338,6213.03
0.34,31.6624,0.34,25080.7925,0.34,4727.74,0.34,6229.61
0.342,31.7002,0.342,25131.149,0.342,4731.37,0.342,6237.7
0.344,31.6883,0.344,24908.0834,0.344,4722.72,0.344,6217.17
0.346,31.6734,0.346,25100.918,0.346,4721.83,0.346,6218.62
0.348,31.6966,0.348,25351.5217,0.348,4741.08,0.348,6249.92
0.35,31.6851,0.35,25039.3615,0.35,4728.73,0.35,6224.56
0.352,31.6315,0.352,25214.7388,0.352,4722.01,0.352,6222.08
0.354,31.6157,0.354,25301.4163,0.354,4720.57,0.354,6209.61
0.356,31.7054,0.356,25071.7972,0.356,4726.27,0.356,6221.75
0.358,31.7312,0.358,25796.6693,0.358,4743.36,0.358,6250.71
0.36,31.7311,0.36,25182.3886,0.36,4735.37,0.36,6240.89
0.362,31.7758,0.362,25244.0933,0.362,4741.03,0.362,6253.49
0.364,31.7311,0.364,24811.8894,0.364,4723.04,0.364,6216.57
0.366,31.7068,0.366,25317.3956,0.366,4737.41,0.366,6231.67
0.368,31.6738,0.368,24829.9179,0.368,4728.31,0.368,6232.12
0.37,31.6704,0.37,24770.1306,0.37,4725.63,0.37,6227.38
0.372,31.6661,0.372,24945.468,0.372,4723.26,0.372,6218.75
0.374,31.6927,0.374,25041.2693,0.374,4726.84,0.374,6225.93
0.376,31.6018,0.376,25296.2207,0.376,4728.18,0.376,6231.37
0.378,31.5566,0.378,24807.2384,0.378,4713.56,0.378,6211.73
0.38,31.7089,0.38,25602.2828,0.38,4736.83,0.38,6242.4
0.382,31.6396,0.382,25368.7988,0.382,4721.45,0.382,6219.08
0.384,31.5513,0.384,24777.9294,0.384,4713.98,0.384,6211.09
0.386,31.5429,0.386,25109.9559,0.386,4720.57,0.386,6219.03
0.388,31.5455,0.388,24892.5118,0.388,4718.17,0.388,6214.49
0.39,31.6635,0.39,24931.1651,0.39,4723.48,0.39,6219.21
0.392,31.5795,0.392,24455.4463,0.392,4708.17,0.392,6190.69
0.394,31.5198,0.394,24900.8815,0.394,4701.78,0.394,6186.18
0.396,31.5648,0.396,25398.5923,0.396,4731.96,0.396,6235.61
0.398,31.5757,0.398,25127.6201,0.398,4721.67,0.398,6220.27
0.4,31.5508,0.4,25125.3006,0.4,4726.84,0.4,6228.7
0.402,31.5327,0.402,25216.215,0.402,4710.82,0.402,6198.31
0.404,31.527,0.404,24508.0795,0.404,4709.6,0.404,6203.27
0.406,31.5235,0.406,24833.4443,0.406,4710.59,0.406,6208.92
0.408,31.5804,0.408,24606.9569,0.408,4715.44,0.408,6206.95
0.41,31.5567,0.41,24803.5211,0.41,4725.24,0.41,6233.87
0.412,31.5517,0.412,24990.0989,0.412,4729.98,0.412,6231.32
0.414,31.5287,0.414,24327.4704,0.414,4706.08,0.414,6195.78
0.416,31.5517,0.416,24666.3146,0.416,4703.68,0.416,6196.63
