title,p27 - MD results - multiple x,,,,,,
plot_type,grid-line,,,,,,
x_label,Time (ns),,,,,,
color,#000000,,#FD5200,,#0000FF,,#FF8000
label,Radius of Gyration,,Surface Area,,PA,,EHSS
y_labels,Rg (AA),,SASA (A^2),,CCS (A^2),,CCS (A^2)
label_unit,A,,A2,,A2,,A2
axis_x,axis_y,axis_x,axis_y,axis_x,axis_y,axis_x,axis_y
2.468,31.401,2.468,24121.6978,2.468,4677.93,2.468,6159.38
2.47,31.4069,2.47,24367.5177,2.47,4676.69,2.47,6159.62
2.472,31.4138,2.472,24198.3927,2.472,4681.97,2.472,6168.02
2.474,31.4083,2.474,24185.7044,2.474,4680.53,2.474,6163.78
2.476,31.3814,2.476,23910.1352,2.476,4681.01,2.476,6166.23
2.478,31.4303,2.478,24756.9196,2.478,4688.16,2.478,6177.93
2.48,31.4018,2.48,24194.9956,2.48,4668.1,2.48,6151.54
2.482,31.4331,2.482,24178.1698,2.482,4677.17,2.482,6159.46
2.484,31.4183,2.484,23936.0809,2.484,4673.38,2.484,6152.02
2.486,31.428,2.486,24010.9296,2.486,4674.27,2.486,6156.7
2.488,31.43,2.488,24276.9216,2.488,4680.37,2.488,6167.21
2.49,31.4276,2.49,23750.2566,2.49,4673.83,2.49,6152.92
2.492,31.4212,2.492,23766.3212,2.492,4670.06,2.492,6147.08
2.494,31.4112,2.494,24037.7113,2.494,4671.76,2.494,6157.32
2.496,31.424,2.496,24273.9145,2.496,4684.19,2.496,6176.23
2.498,31.3936,2.498,24655.2928,2.498,4675.57,2.498,6156.7
2.5,31.4198,2.5,24247.4354,2.5,4672.78,2.5,6148.15
2.502,31.4037,2.502,24281.0441,2.502,4687.68,2.502,6172.4
2.504,31.3325,2.504,24278.2578,2.504,4669.48,2.504,6152.11
2.506,31.3495,2.506,23994.656,2.506,4675.51,2.506,6163.77
2.508,31.4213,2.508,24008.3863,2.508,4676.85,2.508,6158.22
2.51,31.4371,2.51,24171.9306,2.51,4679.5,2.51,6168.47
2.512,31.4069,2.512,24251.0779,2.512,4674.36,2.512,6159.86
2.514,31.4127,2.514,24791.0647,2.514,4692,2.514,6181.01
2.516,31.4063,2.516,24192.1597,2.516,4678,2.516,6165.62
2.518,31.4212,2.518,24026.7721,2.518,4676.8,2.518,6154.58
2.52,31.4015,2.52,24399.2499,2.52,4678.25,2.52,6160.8
2.522,31.5087,2.522,24788.7488,2.522,4689.57,2.522,6173.55
2.524,31.4704,2.524,23895.5845,2.524,4661.8,2.524,6134.36
2.526,31.4733,2.526,24771.9644,2.526,4684.76,2.526,6171.23
2.528,31.4449,2.528,24006.8352,2.528,4678.23,2.528,6161.97
2.53,31.4259,2.53,23824.7221,2.53,4679.72,2.53,6158.01
2.532,31.4585,2.532,24574.0315,2.532,4688.3,2.532,6173.38
2.534,31.513,2.534,24586.152,2.534,4683.36,2.534,6164.43
2.536,31.5022,2.536,24345.2988,2.536,4691.84,2.536,6177.09
2.538,31.3992,2.538,24069.546,2.538,4670.67,2.538,6154.66
2.54,31.3913,2.54,24587.9268,2.54,4680.2,2.54,6165.66
2.542,31.4993,2.542,24812.1532,2.542,4693.79,2.542,6191.83
2.544,31.3825,2.544,23867.4494,2.544,4672.19,2.544,6154.27
2.546,31.469,2.546,24532.1702,2.546,4684.5,2.546,6173.65
2.548,31.5328,2.548,24429.5768,2.548,4688.45,2.548,6180.23
2.55,31.4532,2.55,24316.4246,2.55,4682.47,2.55,6170.32
2.552,31.4165,2.552,24627.3867,2.552,4679.65,2.552,6171.4
2.554,31.3483,2.554,24353.866,2.554,4674.84,2.554,6162.7
2.556,31.4263,2.556,24404.4124,2.556,4676.34,2.556,6161.8
2.558,31.4228,2.558,24089.342,2.558,4671.12,2.558,6156.23
2.56,31.3747,2.56,24311.3369,2.56,4672.86,2.56,6159.09
2.562,31.4793,2.562,24425.6681,2.562,4683.87,2.562,6168.32
2.564,31.4278,2.564,24139.0117,2.564,4668.33,2.564,6149.43
2.566,31.3591,2.566,23794.4197,2.566,4667.4,2.566,6145.41
2.568,31.3507,2.568,23853.8005,2.568,4666.35,2.568,6143.34
2.57,31.3334,2.57,23929.4054,2.57,4658.9,2.57,6133.26
2.572,31.4182,2.572,23732.9296,2.572,4666.16,2.572,6148.38
2.574,31.4251,2.574,24644.6341,2.574,4678.85,2.574,6161.59
2.576,31.3742,2.576,23994.3465,2.576,4664.14,2.576,6144.37
2.578,31.3763,2.578,24230.3981,2.578,4667.72,2.578,6148.17
2.58,31.4143,2.58,23988.1024,2.58,4662.79,2.58,6136.79
2.582,31.4467,2.582,24513.3267,2.582,4686.65,2.582,6178.81
2.584,31.3484,2.584,23672.0438,2.584,4662.69,2.584,6140.07
2.586,31.3792,2.586,24454.881,2.586,4673.33,2.586,6152.99
2.588,31.4162,2.588,24216.5246,2.588,4666.15,2.588,6143.3
2.59,31.467,2.59,23966.6067,2.59,4666.15,2.59,6143.37
2.592,31.4067,2.592,24371.496,2.592,4671.58,2.592,6156.9
2.594,31.4171,2.594,24501.603,2.594,4684.39,2.594,6176.99
2.596,31.379,2.596,23535.3054,2.596,4662.55,2.596,6137.47
2.598,31.4431,2.598,24689.6869,2.598,4678.02,2.598,6157.47
2.6,31.4521,2.6,24391.9607,2.6,4678.12,2.6,6151.71
2.602,31.4479,2.602,24179.2114,2.602,4676.69,2.602,6154.95
2.604,31.4661,2.604,24248.8057,2.604,4684.45,2.604,6170.17
2.606,31.447,2.606,24854.7439,2.606,4677.53,2.606,6156.84
2.608,31.3902,2.608,24237.3363,2.608,4667.62,2.608,6147.68
2.61,31.3743,2.61,24093.5469,2.61,4660.57,2.61,6127.17
2.612,31.5013,2.612,25127.4912,2.612,4695.6,2.612,6186.7
2.614,31.4366,2.614,24259.9605,2.614,4674.56,2.614,6158.03
2.616,31.3646,2.616,24087.6378,2.616,4669.43,2.616,6145.76
2.618,31.4036,2.618,23936.3783,2.618,4670.75,2.618,6157.45
2.62,31.4222,2.62,24545.3914,2.62,4684.51,2.62,6173.23
2.622,31.3678,2.622,23809.5392,2.622,4660.17,2.622,6139.79
2.624,31.4179,2.624,24369.1007,2.624,4682.22,2.624,6166.47
2.626,31.4512,2.626,24731.3732,2.626,4691.95,2.626,6181.72
2.628,31.4529,2.628,24333.0748,2.628,4673.62,2.628,6154.72
2.63,31.4195,2.63,24584.4583,2.63,4678.3,2.63,6157.41
2.632,31.3923,2.632,24080.4329,2.632,4669.18,2.632,6146.78
2.634,31.3505,2.634,23876.0848,2.634,4658.49,2.634,6128.19
2.636,31.35,2.636,24304.4328,2.636,4664.32,2.636,6135.12
2.638,31.406,2.638,25032.9239,2.638,4679.77,2.638,6163.85
2.64,31.401,2.64,23951.0171,2.64,4668.35,2.64,6146.43
2.642,31.3672,2.642,24397.1918,2.642,4667.91,2.642,6146.46
2.644,31.359,2.644,24606.3707,2.644,4662.68,2.644,6134.44
2.646,31.3965,2.646,24111.3233,2.646,4658.36,2.646,6134.33
2.648,31.3525,2.648,24082.863,2.648,4669.14,2.648,6148.79
2.65,31.4157,2.65,24433.0656,2.65,4673.75,2.65,6155.29
2.652,31.3733,2.652,23954.5619,2.652,4659.64,2.652,6133.32
2.654,31.3415,2.654,24270.4732,2.654,4670.89,2.654,6158.49
2.656,31.3796,2.656,24080.1986,2.656,4670.72,2.656,6152.59
2.658,31.3939,2.658,24385.6702,2.658,4674.79,2.658,6157.68
2.66,31.3856,2.66,24622.1816,2.66,4678.67,2.66,6165.02
2.662,31.3274,2.662,24043.6866,2.662,4665.35,2.662,6146.3
2.664,31.3863,2.664,24697.5657,2.664,4673.88,2.664,6155.54
2.666,31.3704,2.666,24179.247,2.666,4669.08,2.666,6145.53
2.668,31.3973,2.668,23845.9295,2.668,4670.6,2.668,6153.57
2.67,31.409,2.67,24298.5567,2.67,4669.61,2.67,6152.25
2.672,31.3687,2.672,24452.8612,2.672,4672.03,2.672,6157.22
2.674,31.4152,2.674,24383.5655,2.674,4677.58,2.674,6154.79
2.676,31.3911,2.676,24358.1867,2.676,4675.78,2.676,6158.77
2.678,31.3961,2.678,24303.2725,2.678,4676.7,2.678,6161.14
2.68,31.4673,2.68,24005.2777,2.68,4677.28,2.68,6162.76
2.682,31.372,2.682,24211.3992,2.682,4664.72,2.682,6145.89
2.684,31.4033,2.684,24222.3582,2.684,4677.16,2.684,6164.3
2.686,31.3963,2.686,24550.5755,2.686,4671.47,2.686,6149.57
2.688,31.3704,2.688,23881.0128,2.688,4662.09,2.688,6135.97
2.69,31.4658,2.69,24054.8087,2.69,4663.55,2.69,6137.16
2.692,31.4722,2.692,24169.4,2.692,4671.68,2.692,6154.03
2.694,31.4172,2.694,23796.8476,2.694,4675.5,2.694,6155.45
2.696,31.3951,2.696,23907.7304,2.696,4662.43,2.696,6143.41
2.698,31.4024,2.698,24288.888,2.698,4665.36,2.698,6143.58
2.7,31.4032,2.7,24230.1851,2.7,4669.74,2.7,6151.54
2.702,31.4658,2.702,24144.2023,2.702,4663.36,2.702,6140.83
2.704,31.3961,2.704,24731.9231,2.704,4672.91,2.704,6155.42
2.706,31.3531,2.706,23943.6823,2.706,4670.1,2.706,6154.18
2.708,31.4375,2.708,23999.3553,2.708,4663.69,2.708,6140.1
2.71,31.3961,2.71,24036.1663,2.71,4662.63,2.71,6144.69
2.712,31.4081,2.712,24508.3406,2.712,4672.82,2.712,6158.57
2.714,31.3955,2.714,24244.0654,2.714,4676.11,2.714,6158.86
2.716,31.3141,2.716,23585.0338,2.716,4656.43,2.716,6129.45
2.718,31.4166,2.718,24643.301,2.718,4673.66,2.718,6149.79
2.72,31.3779,2.72,24182.8011,2.72,4664.3,2.72,6141.49
2.722,31.4132,2.722,24354.5963,2.722,4669.33,2.722,6153.74
2.724,31.3514,2.724,23922.7649,2.724,4669.4,2.724,6148.83
2.726,31.3732,2.726,23968.7981,2.726,4662.86,2.726,6147.44
2.728,31.4522,2.728,24084.7866,2.728,4681.52,2.728,6168.22
2.73,31.3374,2.73,23654.5477,2.73,4664.48,2.73,6142.47
2.732,31.3138,2.732,23719.1951,2.732,4664.53,2.732,6142.82
2.734,31.3266,2.734,23839.5201,2.734,4664.6,2.734,6144.35
2.736,31.3899,2.736,24228.7627,2.736,4676.33,2.736,6162.55
2.738,31.3885,2.738,24641.7537,2.738,4677.85,2.738,6160.47
2.74,31.3306,2.74,24133.7125,2.74,4667.17,2.74,6152.28
2.742,31.3428,2.742,23757.9712,2.742,4665.38,2.742,6140.72
2.744,31.3607,2.744,24375.4902,2.744,4672.24,2.744,6157.43
2.746,31.4217,2.746,24372.3803,2.746,4672.87,2.746,6159.83
2.748,31.3786,2.748,24274.9835,2.748,4666.82,2.748,6147.58
2.75,31.4547,2.75,24762.2117,2.75,4682.51,2.75,6171.6
2.752,31.4532,2.752,24143.4576,2.752,4678.29,2.752,6158.5
2.754,31.3751,2.754,24167.8183,2.754,4667.37,2.754,6144.57
2.756,31.3797,2.756,24179.2765,2.756,4669.61,2.756,6150.63
2.758,31.4447,2.758,24430.4613,2.758,4675.78,2.758,6157.11
2.76,31.3954,2.76,23999.4305,2.76,4667.32,2.76,6147.06
2.762,31.4058,2.762,24305.4903,2.762,4676.22,2.762,6159.55
2.764,31.3265,2.764,23603.3804,2.764,4660.56,2.764,6142.82
2.766,31.3002,2.766,23492.106,2.766,4656.65,2.766,6134.61
2.768,31.3164,2.768,23981.3437,2.768,4662.82,2.768,6151.69
2.77,31.3252,2.77,23921.0341,2.77,4670.79,2.77,6153.32
2.772,31.4043,2.772,24150.0055,2.772,4672.16,2.772,6153.41
2.774,31.3862,2.774,24481.1538,2.774,4679.68,2.774,6166
2.776,31.3603,2.776,24459.2008,2.776,4671.93,2.776,6155.63
2.778,31.3092,2.778,24110.2078,2.778,4666.4,2.778,6150.28
2.78,31.2705,2.78,24399.9787,2.78,4663.29,2.78,6150.9
2.782,31.3715,2.782,23978.9787,2.782,4671.29,2.782,6156.38
2.784,31.4293,2.784,24118.2337,2.784,4680.44,2.784,6171.25
2.786,31.3919,2.786,24119.966,2.786,4664.25,2.786,6145.88
2.788,31.3354,2.788,23692.6132,2.788,4655.8,2.788,6131.2
2.79,31.4117,2.79,24120.3492,2.79,4675.45,2.79,6166.39
2.792,31.4435,2.792,24661.4416,2.792,4676.71,2.792,6157.23
2.794,31.3961,2.794,24294.7659,2.794,4679.57,2.794,6164.19
2.796,31.3216,2.796,24226.6614,2.796,4673.82,2.796,6154.79
2.798,31.3604,2.798,24272.311,2.798,4670.7,2.798,6150.47
2.8,31.3142,2.8,23877.77,2.8,4662.74,2.8,6147.06
2.802,31.306,2.802,24343.9398,2.802,4662.96,2.802,6141.31
2.804,31.3471,2.804,24151.3557,2.804,4668.14,2.804,6148.81
2.806,31.3248,2.806,23730.4292,2.806,4659.85,2.806,6137.83
2.808,31.3677,2.808,24399.6684,2.808,4672.05,2.808,6161.64
2.81,31.3825,2.81,24070.7558,2.81,4667.51,2.81,6149.86
2.812,31.4453,2.812,24272.4277,2.812,4678.95,2.812,6166.83
2.814,31.3836,2.814,24019.842,2.814,4665.79,2.814,6143.95
2.816,31.4278,2.816,24420.9634,2.816,4671.49,2.816,6157.55
2.818,31.495,2.818,24292.3615,2.818,4685.77,2.818,6175.82
2.82,31.4496,2.82,24109.3253,2.82,4670.25,2.82,6157.13
2.822,31.3734,2.822,24023.6778,2.822,4669.86,2.822,6154.35
2.824,31.4353,2.824,24098.3515,2.824,4672.9,2.824,6158.07
2.826,31.4427,2.826,24137.2844,2.826,4667.8,2.826,6151.18
2.828,31.4363,2.828,24104.6483,2.828,4666.16,2.828,6141.08
2.83,31.4574,2.83,24328.8957,2.83,4662.11,2.83,6138.83
2.832,31.4386,2.832,24009.7522,2.832,4665.35,2.832,6141.68
2.834,31.3786,2.834,24353.7284,2.834,4664.96,2.834,6141.61
2.836,31.3442,2.836,24040.9772,2.836,4659.92,2.836,6141.09
2.838,31.3265,2.838,24058.1896,2.838,4663.2,2.838,6147.59
2.84,31.2874,2.84,23750.0348,2.84,4651.36,2.84,6127.65
2.842,31.3441,2.842,23956.6846,2.842,4651.15,2.842,6128.14
2.844,31.3697,2.844,24314.2892,2.844,4670.74,2.844,6150.79
2.846,31.3328,2.846,23952.0909,2.846,4667.54,2.846,6147.89
2.848,31.2924,2.848,23975.8821,2.848,4655.38,2.848,6135.15
2.85,31.2678,2.85,24057.8516,2.85,4659.54,2.85,6134.49
2.852,31.3186,2.852,23772.0866,2.852,4664.58,2.852,6149.34
2.854,31.3113,2.854,23967.3842,2.854,4660.46,2.854,6142.15
2.856,31.3462,2.856,24217.4961,2.856,4670.41,2.856,6157.23
2.858,31.3894,2.858,24378.1105,2.858,4670.02,2.858,6146.69
2.86,31.3252,2.86,23504.84,2.86,4653.51,2.86,6121.56
2.862,31.4226,2.862,24834.0065,2.862,4676.56,2.862,6158.94
2.864,31.3941,2.864,24346.3608,2.864,4669.59,2.864,6146.65
2.866,31.3888,2.866,24325.254,2.866,4671.55,2.866,6153.65
2.868,31.37,2.868,24353.4065,2.868,4664.06,2.868,6143.81
2.87,31.3878,2.87,24637.4867,2.87,4666.93,2.87,6146.42
2.872,31.3475,2.872,24406.596,2.872,4672.67,2.872,6158.72
2.874,31.3715,2.874,24042.5078,2.874,4665.13,2.874,6144.08
2.876,31.3204,2.876,24571.5449,2.876,4664.32,2.876,6143.59
2.878,31.2803,2.878,23817.9363,2.878,4650.66,2.878,6126.81
2.88,31.4225,2.88,23843.2047,2.88,4659.42,2.88,6136.91
2.882,31.3396,2.882,24439.1293,2.882,4667.67,2.882,6154.07
2.884,31.391,2.884,24872.9952,2.884,4679.29,2.884,6167.68
2.886,31.2796,2.886,24073.9534,2.886,4651.18,2.886,6127.42
2.888,31.2463,2.888,24157.9897,2.888,4652.58,2.888,6126.52
2.89,31.3424,2.89,24147.8353,2.89,4673.66,2.89,6161.68
2.892,31.2917,2.892,24156.7065,2.892,4657.8,2.892,6127.84
2.894,31.312,2.894,24643.9137,2.894,4669.48,2.894,6152.72
2.896,31.2551,2.896,24146.9515,2.896,4659.03,2.896,6134.67
2.898,31.3046,2.898,24259.6322,2.898,4665.11,2.898,6142.71
2.9,31.3024,2.9,24013.1913,2.9,4664.46,2.9,6144.9
2.902,31.3629,2.902,24265.1698,2.902,4673.37,2.902,6158.32
2.904,31.3259,2.904,24598.8208,2.904,4667.6,2.904,6142.29
2.906,31.2673,2.906,24141.9772,2.906,4669.34,2.906,6152.98
2.908,31.2784,2.908,24417.5323,2.908,4674.11,2.908,6163.04
2.91,31.3749,2.91,24513.3105,2.91,4677.02,2.91,6161.89
2.912,31.3521,2.912,24219.0432,2.912,4666.01,2.912,6144.98
2.914,31.379,2.914,24348.664,2.914,4670.76,2.914,6159.48
2.916,31.3528,2.916,24238.1703,2.916,4666.37,2.916,6144.46
2.918,31.3667,2.918,25005.1595,2.918,4672.67,2.918,6150.72
2.92,31.364,2.92,24551.6852,2.92,4672.19,2.92,6154.54
2.922,31.3125,2.922,24521.7808,2.922,4661.79,2.922,6139.31
2.924,31.3157,2.924,24217.4338,2.924,4667.21,2.924,6147.62
2.926,31.3638,2.926,24168.1206,2.926,4671.7,2.926,6150.28
2.928,31.4037,2.928,24774.9534,2.928,4668.8,2.928,6151.11
2.93,31.4459,2.93,24191.5604,2.93,4674.2,2.93,6156.48
2.932,31.3705,2.932,24118.9883,2.932,4667.35,2.932,6146.8
2.934,31.4447,2.934,24072.3758,2.934,4666.97,2.934,6138.98
2.936,31.4255,2.936,24012.5353,2.936,4669.8,2.936,6145.03
2.938,31.384,2.938,24396.9892,2.938,4666.14,2.938,6134
2.94,31.3832,2.94,24161.3986,2.94,4662.3,2.94,6136.89
2.942,31.4003,2.942,24469.7333,2.942,4663.41,2.942,6140.97
2.944,31.3403,2.944,24396.9293,2.944,4665.88,2.944,6142.78
2.946,31.3657,2.946,24550.5215,2.946,4659.68,2.946,6135.67
2.948,31.399,2.948,24876.2851,2.948,4680.81,2.948,6158.69
2.95,31.3953,2.95,23945.6914,2.95,4662.2,2.95,6132.02
2.952,31.4853,2.952,24338.5288,2.952,4672,2.952,6143.05
2.954,31.4685,2.954,25020.8242,2.954,4686.43,2.954,6169.67
2.956,31.3894,2.956,24576.3694,2.956,4667.97,2.956,6145.55
2.958,31.3407,2.958,24612.6297,2.958,4672.11,2.958,6151.88
2.96,31.363,2.96,23957.7316,2.96,4661.23,2.96,6132.2
2.962,31.4188,2.962,24440.875,2.962,4668.89,2.962,6147.41
2.964,31.4479,2.964,24928.3048,2.964,4680.57,2.964,6160.19
2.966,31.3695,2.966,25008.2165,2.966,4675.88,2.966,6153.97
2.968,31.3471,2.968,24397.5881,2.968,4677.13,2.968,6164.59
2.97,31.3561,2.97,23972.9479,2.97,4657.27,2.97,6131.43
2.972,31.3836,2.972,24499.277,2.972,4673.5,2.972,6150.72
2.974,31.35,2.974,23658.4107,2.974,4658.13,2.974,6127.14
2.976,31.3508,2.976,24129.7893,2.976,4661.95,2.976,6128.02
2.978,31.2812,2.978,23834.9307,2.978,4649.22,2.978,6115.5
2.98,31.3006,2.98,24226.4368,2.98,4661.51,2.98,6134.83
2.982,31.3606,2.982,24364.3843,2.982,4667.88,2.982,6144.27
2.984,31.4321,2.984,24670.4079,2.984,4676.9,2.984,6150.99
2.986,31.4346,2.986,24087.5134,2.986,4664.27,2.986,6141.94
2.988,31.3957,2.988,24220.3981,2.988,4665.22,2.988,6137.78
2.99,31.3716,2.99,24212.3749,2.99,4664.69,2.99,6142.87
2.992,31.3293,2.992,24253.3237,2.992,4661.99,2.992,6133.45
2.994,31.4358,2.994,24880.6431,2.994,4682.39,2.994,6164.43
2.996,31.4785,2.996,24877.8346,2.996,4685.54,2.996,6174.59
2.998,31.4491,2.998,24361.8434,2.998,4682.82,2.998,6169.92
3,31.4395,3,24611.6073,3,4675.04,3,6149.63
3.002,31.3856,3.002,24270.4946,3.002,4676.38,3.002,6159.62
3.004,31.3431,3.004,23749.6484,3.004,4668.19,3.004,6147.47
3.006,31.5282,3.006,24954.9048,3.006,4692.74,3.006,6184.32
3.008,31.5062,3.008,24308.7321,3.008,4676.56,3.008,6155.77
3.01,31.511,3.01,24374.6135,3.01,4687.29,3.01,6168.25
3.012,31.4562,3.012,24219.671,3.012,4679.27,3.012,6161.04
3.014,31.4614,3.014,25040.138,3.014,4687.91,3.014,6171.75
3.016,31.4174,3.016,24387.307,3.016,4679.28,3.016,6160.88
3.018,31.3844,3.018,24572.6048,3.018,4669.57,3.018,6151.9
3.02,31.3435,3.02,24251.6198,3.02,4671.36,3.02,6151.2
3.022,31.3336,3.022,24131.1177,3.022,4666.28,3.022,6146.54
3.024,31.3552,3.024,24597.6868,3.024,4674.6,3.024,6163.55
3.026,31.3967,3.026,24543.3206,3.026,4671.17,3.026,6154.14
3.028,31.4417,3.028,24798.1818,3.028,4685.23,3.028,6181.76
3.03,31.4827,3.03,24508.5127,3.03,4682.44,3.03,6163.99
3.032,31.4498,3.032,24757.3483,3.032,4679.55,3.032,6165.68
3.034,31.4121,3.034,24235.3998,3.034,4668.95,3.034,6142.52
3.036,31.3763,3.036,24321.4513,3.036,4671.05,3.036,6157.24
3.038,31.383,3.038,24382.5064,3.038,4684.42,3.038,6176.93
3.04,31.4145,3.04,24178.7458,3.04,4678.36,3.04,6165.05
3.042,31.3904,3.042,24059.4852,3.042,4664.43,3.042,6140.8
3.044,31.4624,3.044,24493.9296,3.044,4682.54,3.044,6173.04
3.046,31.446,3.046,24614.7196,3.046,4681,3.046,6164.3
3.048,31.4304,3.048,24288.1129,3.048,4673.53,3.048,6155.9
3.05,31.5785,3.05,24659.2474,3.05,4696.31,3.05,6185.77
3.052,31.51,3.052,24094.7944,3.052,4681.98,3.052,6167.47
3.054,31.5068,3.054,24490.6841,3.054,4685.89,3.054,6178.22
3.056,31.503,3.056,24292.6651,3.056,4686.29,3.056,6170.37
3.058,31.3877,3.058,23960.3113,3.058,4672.49,3.058,6152.05
3.06,31.3936,3.06,24280.5552,3.06,4662.11,3.06,6141.86
3.062,31.379,3.062,24096.0866,3.062,4668.43,3.062,6149.92
3.064,31.43,3.064,24401.6376,3.064,4675.49,3.064,6159.45
3.066,31.4682,3.066,24139.9625,3.066,4680.22,3.066,6165.25
3.068,31.493,3.068,24205.6469,3.068,4674.94,3.068,6154.96
3.07,31.438,3.07,24345.814,3.07,4676.29,3.07,6159.03
3.072,31.4598,3.072,24248.9382,3.072,4692.81,3.072,6182.75
3.074,31.468,3.074,24692.4561,3.074,4687.96,3.074,6179.9
3.076,31.4605,3.076,24598.249,3.076,4689.52,3.076,6180.8
3.078,31.4128,3.078,23773.5702,3.078,4670.17,3.078,6151.02
3.08,31.4162,3.08,24200.0525,3.08,4673.89,3.08,6152.65
3.082,31.3425,3.082,24291.5689,3.082,4669.57,3.082,6147.1
3.084,31.4239,3.084,24453.767,3.084,4678.91,3.084,6162.4
3.086,31.4134,3.086,23989.208,3.086,4677.45,3.086,6146.03
3.088,31.4204,3.088,24443.2689,3.088,4680.86,3.088,6160.95
3.09,31.4338,3.09,24219.0041,3.09,4677.57,3.09,6154.79
3.092,31.4513,3.092,23667.5757,3.092,4670.49,3.092,6142.24
3.094,31.4584,3.094,24497.4627,3.094,4673.53,3.094,6156.45
3.096,31.4809,3.096,24495.32,3.096,4686.93,3.096,6176.42
3.098,31.4483,3.098,24016.7404,3.098,4671.76,3.098,6148.54
3.1,31.4842,3.1,24488.9251,3.1,4684.75,3.1,6165.54
3.102,31.4301,3.102,23984.6467,3.102,4669.1,3.102,6138.48
3.104,31.4724,3.104,24165.1506,3.104,4674.41,3.104,6148.04
3.106,31.3841,3.106,24191.1682,3.106,4674.24,3.106,6145.89
3.108,31.3949,3.108,23995.4821,3.108,4664.82,3.108,6138.14
3.11,31.4308,3.11,23908.3914,3.11,4674.62,3.11,6147.99
3.112,31.5379,3.112,24625.115,3.112,4687.12,3.112,6169.19
3.114,31.5555,3.114,24527.0826,3.114,4693.81,3.114,6182.59
3.116,31.4996,3.116,24143.9779,3.116,4681.55,3.116,6164.51
3.118,31.4705,3.118,23979.8123,3.118,4685.79,3.118,6172.83
3.12,31.468,3.12,24314.5707,3.12,4681.15,3.12,6155.97
3.122,31.3699,3.122,23831.4271,3.122,4674.15,3.122,6154.59
3.124,31.4498,3.124,24265.1793,3.124,4681.27,3.124,6163.56
3.126,31.5127,3.126,23940.0875,3.126,4683.79,3.126,6169.56
3.128,31.5456,3.128,24270.4329,3.128,4683.85,3.128,6163.62
3.13,31.5322,3.13,24177.3005,3.13,4685.9,3.13,6165.85
3.132,31.4714,3.132,24018.7831,3.132,4676.46,3.132,6151.98
3.134,31.4643,3.134,24071.5063,3.134,4685.03,3.134,6161.48
3.136,31.538,3.136,24174.6767,3.136,4684.89,3.136,6158.83
3.138,31.6038,3.138,24509.7461,3.138,4702.23,3.138,6198.04
3.14,31.469,3.14,24500.6513,3.14,4693.79,3.14,6175.39
3.142,31.4531,3.142,24239.7876,3.142,4685.33,3.142,6169.33
3.144,31.4692,3.144,24434.8661,3.144,4684.62,3.144,6172.67
3.146,31.487,3.146,24031.7057,3.146,4683.84,3.146,6168.12
3.148,31.4003,3.148,24068.7852,3.148,4671.12,3.148,6154.09
3.15,31.4277,3.15,24172.6134,3.15,4682.99,3.15,6160.92
3.152,31.3854,3.152,24308.575,3.152,4669.31,3.152,6146.15
3.154,31.4257,3.154,24245.7474,3.154,4675.48,3.154,6157.89
3.156,31.4958,3.156,24354.6411,3.156,4688.13,3.156,6172.24
3.158,31.5206,3.158,24364.7852,3.158,4682.94,3.158,6163.18
3.16,31.4604,3.16,24228.9457,3.16,4683.4,3.16,6164.08
3.162,31.4616,3.162,24342.8645,3.162,4678.76,3.162,6159.02
3.164,31.4418,3.164,23809.2701,3.164,4663.93,3.164,6133.24
3.166,31.5194,3.166,24362.4759,3.166,4672.86,3.166,6144.28
3.168,31.5869,3.168,24432.7347,3.168,4686.46,3.168,6161.19
3.17,31.6089,3.17,24297.2078,3.17,4693.15,3.17,6182.76
3.172,31.5484,3.172,24338.7464,3.172,4689.42,3.172,6177.11
3.174,31.5435,3.174,24500.856,3.174,4698.88,3.174,6190.33
3.176,31.4894,3.176,24277.4464,3.176,4678.32,3.176,6152.09
3.178,31.5258,3.178,24524.9892,3.178,4681.69,3.178,6160.57
3.18,31.4918,3.18,24399.2989,3.18,4682.1,3.18,6158.03
3.182,31.4169,3.182,23775.1023,3.182,4656.75,3.182,6122.55
3.184,31.4459,3.184,24113.1536,3.184,4670.18,3.184,6150.22
3.186,31.4608,3.186,24744.6785,3.186,4673.43,3.186,6153.28
3.188,31.3959,3.188,24041.6798,3.188,4673.87,3.188,6154.57
3.19,31.4403,3.19,24233.799,3.19,4676.1,3.19,6162.42
3.192,31.4847,3.192,24288.371,3.192,4681.15,3.192,6173.03
3.194,31.5243,3.194,23573.9531,3.194,4671.85,3.194,6149.66
3.196,31.392,3.196,23695.0476,3.196,4670.17,3.196,6142.93
3.198,31.3844,3.198,23585.2117,3.198,4667,3.198,6140.62
3.2,31.4687,3.2,24515.4372,3.2,4675.12,3.2,6159.86
3.202,31.5625,3.202,24605.8514,3.202,4691.4,3.202,6174.15
3.204,31.4809,3.204,24145.3841,3.204,4682.22,3.204,6167.11
3.206,31.3769,3.206,24128.7538,3.206,4667.52,3.206,6150.37
3.208,31.3826,3.208,24711.5812,3.208,4681.93,3.208,6171.58
3.21,31.4008,3.21,24176.6607,3.21,4671.12,3.21,6147.15
3.212,31.466,3.212,24191.8903,3.212,4671.91,3.212,6146.7
3.214,31.447,3.214,23935.7236,3.214,4668.4,3.214,6143.22
3.216,31.4562,3.216,23852.6826,3.216,4665.54,3.216,6135.43
