title,Global CCS comparison - with tags - multiple x,,,,,,,,,,
plot_type,waterfall,,,,,,,,,,
x_label,CCS,,,,,,,,,,
y_label,Intensity,,,,,,,,,,
label,p27-C,,p27-KID,,p27-FL,,Cdk2/Cyclin A,,Cdk2/Cyclin A/p27-KID,,Cdk2/Cyclin A/p27-FL
color,#0A5F38,,#455189,,#BD2817,,#7E2DBC,,#DC5800,,#00CBCC
axis_x,axis_y,axis_x,axis_y,axis_x,axis_y,axis_x,axis_y,axis_x,axis_y,axis_x,axis_y
4300,0,4300,0,4300,0.84596,4300,0.13181,4300,0.95057,4300,0.98318
4350,0,4350,0,4350,0.8176,4350,0.08548,4350,0.93432,4350,1
4400,0,4400,1.79E-04,4400,0.77785,4400,0.05657,4400,0.90376,4400,0.99842
4450,0,4450,3.59E-04,4450,0.71378,4450,0.04676,4450,0.85716,4450,0.99684
4500,0,4500,5.40E-04,4500,0.65348,4500,0.03696,4500,0.81056,4500,0.99526
4550,0,4550,6.34E-04,4550,0.59621,4550,0.02631,4550,0.76395,4550,0.99402
4600,0,4600,6.34E-04,4600,0.53979,4600,0.01781,4600,0.71735,4600,0.99229
4650,0,4650,6.34E-04,4650,0.48345,4650,0.01152,4650,0.67077,4650,0.98802
4700,0,4700,6.34E-04,4700,0.43165,4700,0.00977,4700,0.62594,4700,0.97539
4750,0,4750,4.62E-04,4750,0.37534,4750,0.00843,4750,0.58078,4750,0.96166
4800,0,4800,0.00131,4800,0.32249,4800,0.0071,4800,0.53562,4800,0.94792
4850,0,4850,0.00142,4850,0.2724,4850,0.00576,4850,0.49045,4850,0.93419
4900,0,4900,9.29E-04,4900,0.22256,4900,0.00148,4900,0.4453,4900,0.91607
4950,0,4950,0,4950,0.17431,4950,0,4950,0.39952,4950,0.89506
5000,0,5000,0,5000,0.13917,5000,0.00132,5000,0.35353,5000,0.87039
5050,0,5050,0,5050,0.1189,5050,0.00153,5050,0.31745,5050,0.84258
5100,0,5100,0,5100,0.10312,5100,0.00173,5100,0.28137,5100,0.81459
5150,0,5150,0,5150,0.08725,5150,0.00193,5150,0.24529,5150,0.7866
5200,0,5200,0,5200,0.07143,5200,0.00209,5200,0.20989,5200,0.76014
5250,0,5250,0,5250,0.05556,5250,0.00179,5250,0.17771,5250,0.72429
5300,0,5300,0,5300,0.04081,5300,0.00149,5300,0.15483,5300,0.6846
5350,0,5350,0,5350,0.03277,5350,0.00119,5350,0.13409,5350,0.64354
5400,0,5400,0,5400,0.02652,5400,0,5400,0.11335,5400,0.59878
5450,0,5450,0,5450,0.02135,5450,0,5450,0.09267,5450,0.55401
5500,0,5500,0,5500,0.01665,5500,0,5500,0.07214,5500,0.51172
5550,0,5550,0,5550,0.01306,5550,0,5550,0.05481,5550,0.46506
5600,0,5600,0.0013,5600,0.01048,5600,0,5600,0.04692,5600,0.41909
5650,0,5650,0,5650,0.0093,5650,0,5650,0.04057,5650,0.37919
5700,0,5700,4.87E-04,5700,0.00891,5700,0,5700,0.03464,5700,0.33864
5750,0,5750,5.51E-04,5750,0.00855,5750,0,5750,0.02883,5750,0.29394
5800,0,5800,5.51E-04,5800,0.00819,5800,0,5800,0.02303,5800,0.24973
5850,0,5850,5.51E-04,5850,0.0074,5850,0,5850,0.0166,5850,0.20563
5900,0,5900,4.88E-04,5900,0.00683,5900,0,5900,0.01511,5900,0.17975
5950,0,5950,0,5950,0.00587,5950,0,5950,0.01356,5950,0.15875
6000,0,6000,0,6000,0.00516,6000,0,6000,0.01152,6000,0.13774
6050,0,6050,0,6050,0,6050,0,6050,0.00988,6050,0.11744
6100,0,6100,0,6100,0,6100,0,6100,0.00825,6100,0.09971
6150,0,6150,0,6150,0,6150,0,6150,0.00676,6150,0.08146
6200,0,6200,0,6200,0,6200,0,6200,0.00578,6200,0.0662
6250,0,6250,0,6250,0,6250,0,6250,0.00446,6250,0.05793
6300,0,6300,0,6300,0,6300,0,6300,0.00382,6300,0.04965
6350,0,6350,0,6350,0,6350,0,6350,0.00317,6350,0.04138
6400,0,6400,0,6400,0,6400,0,6400,0.00253,6400,0.03408
6450,0,6450,0,6450,0,6450,0,6450,0,6450,0.02881
6500,0,6500,0,6500,0,6500,0,6500,0,6500,0.02355
6550,0,6550,0,6550,0,6550,0,6550,0,6550,0.01822
6600,0,6600,0,6600,0,6600,0,6600,0,6600,0.01562
6650,0,6650,0,6650,0,6650,0,6650,0,6650,0.01301
6700,0,6700,0,6700,0,6700,0,6700,0,6700,0.01041
6750,0,6750,0,6750,0,6750,0,6750,0,6750,0.00851
6800,0,6800,0,6800,0,6800,0,6800,0,6800,0.00762
6850,0,6850,0,6850,0,6850,0,6850,0,6850,0.00675
6900,0,6900,0,6900,0,6900,0,6900,5.55E-04,6900,0.00603
6950,0,6950,0,6950,0,6950,0,6950,0,6950,0.00531
7000,0,7000,0,7000,0,7000,0,7000,0,7000,0.00242
7050,0,7050,0,7050,0,7050,0,7050,0,7050,0.00212
7100,0,7100,0,7100,0,7100,0,7100,0,7100,0.00192
7150,0,7150,0,7150,0,7150,0,7150,0,7150,0.00182
7200,0,7200,0,7200,0,7200,0,7200,0,7200,0.00173
7250,0,7250,0,7250,0,7250,0,7250,0,7250,0.00163
7300,0,7300,0,7300,0,7300,0,7300,0,7300,0.00154
7350,0,7350,0,7350,0,7350,0,7350,0,7350,0.00144
7400,0,7400,0,7400,0,7400,0,7400,0,7400,0.00134
7450,0,7450,0,7450,0,7450,0,7450,0,7450,0.00123
7500,0,7500,0,7500,0,7500,0,7500,0,7500,0.0011
7550,0,7550,0,7550,0,7550,0,7550,0,7550,9.66E-04
7600,0,7600,0,7600,0,7600,0,7600,0,7600,8.36E-04
7650,0,7650,0,7650,0,7650,0,7650,0,7650,7.06E-04
7700,0,7700,0,7700,0,7700,0,7700,0,7700,0
7750,0,7750,0,7750,0,7750,0,7750,0,7750,0
7800,0,7800,0,7800,0,7800,0,7800,0,7800,0
7850,0,7850,0,7850,0,7850,0,7850,0,7850,0
7900,0,7900,0,7900,0,7900,0,7900,0,7900,0
7950,0,7950,0,7950,0,7950,0,7950,0,7950,0
8000,0,8000,0,8000,0,8000,0,8000,0,8000,0
