title,p27 - MD results,,,
plot_type,grid-line,,,
x_label,Time (ns),,,
color,#000000,#FD5200,#0000FF,#FF8000
label,Radius of Gyration,Surface Area,PA,EHSS
y_labels,Rg (AA),SASA (A^2),CCS (A^2),CCS (A^2)
label_unit,A,A2,A2,A2
axis_x,axis_y,axis_y,axis_y,axis_y
0.246,31.5157,25144.3186,4713.31,6201.9
0.248,31.5373,25159.1013,4726.91,6218.58
0.25,31.5229,24817.7871,4713.33,6192.91
0.252,31.536,25036.9948,4710.07,6189.16
0.254,31.5388,24768.887,4720.92,6217.02
0.256,31.5595,24999.9901,4723.66,6221.26
0.258,31.5762,25625.4509,4725.28,6225.5
0.26,31.5305,24975.0302,4714.61,6198.38
0.262,31.4659,25366.3644,4716.46,6204.04
0.264,31.484,25446.2665,4721.92,6215.7
0.266,31.4605,25044.5769,4721.82,6221.41
0.268,31.3944,25228.3674,4707.85,6194.38
0.27,31.5339,25445.4062,4730.39,6233.98
0.272,31.5525,24710.5609,4710.37,6199.67
0.274,31.5146,25046.1666,4721.17,6223.13
0.276,31.5689,25115.9422,4723.6,6209.67
0.278,31.568,25697.645,4724.26,6220
0.28,31.517,25220.1799,4720.95,6213.6
0.282,31.4964,24815.1188,4716.32,6209.99
0.284,31.6166,25513.6572,4731.77,6226.32
0.286,31.5882,24871.5425,4726.1,6227.26
0.288,31.6217,25374.3716,4731.47,6236.26
0.29,31.5992,25384.9157,4729.95,6227.62
0.292,31.6148,24785.1896,4732.24,6234.24
0.294,31.6902,25011.1562,4725.98,6231.15
0.296,31.688,25214.3181,4732.2,6231.27
0.298,31.6566,24977.6673,4733.53,6230.3
0.3,31.6655,24811.0897,4734.96,6235.01
0.302,31.5481,25174.5054,4723.57,6225
0.304,31.5736,25639.0684,4722.98,6225.88
0.306,31.5207,25350.996,4721.74,6220.25
0.308,31.4931,25241.2478,4721.08,6219.46
0.31,31.5101,25013.4686,4716.54,6213.01
0.312,31.4725,24776.4341,4719.84,6213.98
0.314,31.4576,24931.308,4708.45,6200.73
0.316,31.546,25345.3196,4723.46,6220.71
0.318,31.5013,24972.3986,4725.72,6220.42
0.32,31.5664,24565.6604,4716.8,6215.79
0.322,31.6531,25465.9965,4742.74,6254.34
0.324,31.5938,24994.3505,4719.64,6215.38
