NIST ,intact
4018.95,0.00132
4019.01,0.00419
4019.04,0.00711
4019.06,0.00797
4019.09,0.00539
4019.12,0.00234
4019.15,4.81E-05
4019.23,1.63E-04
4019.26,0
4019.29,0
4019.4,0
4019.42,0
4019.45,1.77E-04
4019.53,3.55E-04
4019.56,0.0024
4019.62,0.00479
4019.65,0.00652
4019.67,0.00479
4019.7,0.0024
4019.73,5.25E-04
4019.81,7.39E-05
4019.84,0.00253
4019.87,0.00619
4019.9,0.00945
4019.92,0.00894
4019.95,0.00549
4019.98,0.00194
4020.09,1.18E-04
4020.12,4.88E-04
4020.23,0.00724
4020.28,0.01756
4020.31,0.02672
4020.34,0.02513
4020.37,0.01537
4020.4,0.00537
4020.51,3.25E-04
4020.53,0
4020.56,0
4021.01,0
4021.04,0
4021.06,3.18E-04
4021.15,6.36E-04
4021.17,0.00429
4021.23,0.00858
4021.26,0.01168
4021.28,0.00858
4021.31,0.00429
4021.34,6.36E-04
4021.42,3.47E-04
4021.45,2.22E-05
4021.53,6.21E-04
4021.59,0.0023
4021.62,0.00408
4021.65,0.00487
4021.67,0.00339
4021.7,0.00156
4021.73,1.11E-04
4021.81,1.11E-04
4021.84,2.96E-05
4021.95,5.32E-04
4022.01,0.0017
4022.03,0.00288
4022.06,0.00324
4022.09,0.00222
4022.12,9.50E-04
4022.2,3.92E-04
4022.23,0.00196
4022.26,0.00328
4022.28,0.00379
4022.31,0.00259
4022.34,0.00116
4022.37,5.17E-05
4022.45,1.77E-04
4022.53,1.92E-04
4022.56,0.00133
4022.62,0.00257
4022.64,0.00322
4022.67,0.0024
4022.7,0.00193
4022.73,0.00187
4022.76,0.00127
4022.78,0.00208
4022.81,0.00427
4022.87,0.00764
4022.89,0.01161
4022.92,0.01305
4022.95,0.00901
4022.98,0.00417
4023.01,1.89E-04
4023.09,2.88E-04
4023.12,0
4023.14,0
4023.76,0
4023.78,0
4023.81,4.44E-05
4023.84,3.03E-04
4023.92,0.00147
4023.98,0.00709
4024.01,0.01341
4024.03,0.01723
4024.06,0.01237
4024.09,0.00598
4024.12,7.06E-04
4024.2,4.36E-04
4024.23,0
4024.26,0
4024.48,0
4024.51,0
4024.53,1.70E-04
4024.64,0.00252
4024.7,0.00609
4024.73,0.00924
4024.76,0.00866
4024.78,0.00529
4024.81,0.00184
4024.92,2.59E-04
4024.95,0.00423
4024.98,0.00958
4025.01,0.01406
4025.03,0.01233
4025.06,0.00719
4025.09,0.00219
4025.2,1.18E-04
4025.23,0
4025.25,0
4025.51,0
4025.53,0
4025.56,0.00146
4025.67,0.02209
4025.73,0.05569
4025.76,0.08623
4025.78,0.08386
4025.81,0.0524
4025.84,0.01928
4025.95,4.14E-04
4026.03,0.0053
4026.09,0.01376
4026.12,0.0217
4026.14,0.02157
4026.17,0.0143
4026.2,0.00581
4026.31,1.55E-04
4026.34,4.44E-05
4026.37,0
4026.39,0
4026.7,0
4026.73,0
4026.76,2.22E-04
4026.84,3.33E-04
4026.87,0.00305
4026.92,0.00639
4026.95,0.00895
4026.98,0.00707
4027.01,0.00379
4027.03,8.43E-04
4027.12,1.33E-04
4027.14,2.96E-05
4027.17,0
4027.2,0
4027.37,0
4027.39,0
4027.42,1.11E-04
4027.53,0.0017
4027.59,0.00439
4027.62,0.00697
4027.64,0.00655
4027.67,0.0037
4027.7,0.00158
4027.73,0.00132
4027.76,0.00297
4027.78,0.0054
4027.81,0.00534
4027.84,0.00319
4027.87,0.00111
4027.95,3.55E-04
4028.03,0.00119
4028.09,0.00709
4028.12,0.01391
4028.15,0.0186
4028.17,0.01357
4028.2,0.00672
4028.23,9.35E-04
4028.31,4.95E-04
4028.34,0
4028.37,0
4028.42,0
4028.45,0
4028.48,0.00123
4028.56,0.00161
4028.59,0.01635
4028.65,0.03508
4028.67,0.05019
4028.7,0.04114
4028.73,0.02458
4028.76,0.00754
4028.84,3.79E-04
4028.9,1.26E-04
4028.92,2.22E-05
4028.95,2.22E-05
4029.03,4.77E-04
4029.09,0.0018
4029.12,0.00321
4029.15,0.00386
4029.17,0.00269
4029.2,0.00124
4029.23,9.42E-05
4029.31,8.87E-05
4029.34,0
4029.37,0
4029.48,0
4029.51,0
4029.53,1.48E-04
4029.65,0.00248
4029.7,0.00729
4029.73,0.01202
4029.76,0.01296
4029.78,0.00858
4029.81,0.00359
4029.92,2.44E-04
4029.95,0
4029.98,0
4030.03,0
4030.06,0
4030.09,5.17E-05
4030.2,8.02E-04
4030.26,0.0021
4030.28,0.0033
4030.31,0.0033
4030.34,0.0021
4030.37,8.02E-04
4030.48,5.17E-05
4030.51,0
4030.53,0
4030.56,2.96E-04
4030.67,0.00438
4030.73,0.01001
4030.76,0.01492
4030.78,0.01399
4030.81,0.00934
4030.84,0.00498
4030.87,0.00246
4030.9,0.00139
4030.92,0.0015
4030.95,6.95E-04
4031.06,2.96E-05
4031.09,0
4031.12,3.40E-04
4031.2,6.80E-04
4031.23,0.00459
4031.29,0.00919
4031.31,0.01249
4031.34,0.00919
4031.37,0.00459
4031.4,6.80E-04
4031.48,3.40E-04
4031.51,0
4031.54,0
4032.87,0
4032.9,0
4032.93,2.22E-05
4032.95,2.66E-04
4033.04,9.65E-04
4033.09,0.00509
4033.12,0.0098
4033.15,0.01282
4033.18,0.00928
4033.2,0.0047
4033.23,1.98E-04
4033.32,0.00274
4033.34,0.00579
4033.37,0.00877
4033.4,0.00819
4033.43,0.00499
4033.45,0.00172
4033.57,1.04E-04
4033.59,0
4033.62,0
4034.45,0
4034.48,0
4034.51,1.26E-04
4034.54,1.70E-04
4034.62,0.00279
4034.68,0.01077
4034.71,0.01939
4034.73,0.0235
4034.76,0.01646
4034.79,0.00764
4034.82,6.23E-04
4034.9,5.99E-04
4035.01,8.02E-04
4035.07,0.0021
4035.09,0.00413
4035.12,0.00164
4035.21,0.01274
4035.23,0.03318
4035.26,0.05267
4035.29,0.05284
4035.32,0.03353
4035.35,0.01284
4035.46,9.10E-04
4035.54,2.40E-05
4035.57,0.00117
4035.62,0.00269
4035.65,0.00399
4035.68,0.00355
4035.71,0.0021
4035.73,6.62E-04
4035.85,3.70E-05
4035.87,0
4035.9,0
4037.1,0
4037.13,0
4037.15,1.18E-04
4037.26,0.00176
4037.32,0.00429
4037.35,0.00654
4037.38,0.00759
4037.46,0.00254
4037.49,0.0184
4037.51,0.038
4037.54,0.05197
4037.57,0.03813
4037.6,0.01906
4037.63,0.00282
4037.71,0.00141
4037.74,0
4037.77,0
4038.54,0
4038.57,0
4038.6,1.26E-04
4038.63,6.21E-04
4038.71,0.00337
4038.77,0.01622
4038.79,0.03159
4038.82,0.04188
4038.85,0.03284
4038.88,0.01993
4038.91,0.00709
4038.99,6.45E-04
4039.07,5.91E-05
4039.1,0
4039.13,8.13E-05
4039.24,0.00122
4039.3,0.00299
4039.32,0.00459
4039.35,0.00437
4039.38,0.00269
4039.41,9.61E-04
4039.52,5.91E-05
4039.55,0
4039.57,0
4040.02,0
4040.05,0
4040.07,4.73E-04
4040.19,0.00692
4040.24,0.01637
4040.27,0.02457
4040.3,0.02255
4040.32,0.01357
4040.35,0.00454
4040.46,2.66E-04
4040.49,0
4040.52,0
4040.8,0
4040.83,0
4040.85,9.61E-05
4040.94,1.92E-04
4040.97,0.0013
4041.02,0.00259
4041.05,0.00353
4041.08,0.00259
4041.1,0.0013
4041.13,1.92E-04
4041.22,9.61E-05
4041.24,0
4041.27,0
4041.61,0
4041.63,0
4041.66,1.92E-04
4041.74,3.29E-04
4041.77,0.00262
4041.83,0.00539
4041.86,0.00746
4041.88,0.00573
4041.91,0.00299
4041.94,5.84E-04
4042.02,1.48E-04
4042.05,1.48E-05
4042.08,0
4042.11,0
4042.33,0
4042.36,0
4042.38,1.33E-04
4042.47,1.28E-04
4042.5,0.00187
4042.55,0.00409
4042.58,0.00589
4042.61,0.00495
4042.64,0.00279
4042.66,7.65E-04
4042.75,2.22E-05
4042.77,1.33E-04
4042.86,1.92E-04
4042.89,0.0013
4042.94,0.00259
4042.97,0.00353
4043,0.00259
4043.02,0.0013
4043.05,1.92E-04
4043.14,9.61E-05
4043.16,0
4043.19,0
4043.33,0
4043.36,0
4043.39,6.65E-05
4043.5,0.00109
4043.55,0.00309
4043.58,0.00504
4043.61,0.00533
4043.64,0.00349
4043.67,0.00143
4043.8,9.68E-04
4043.83,0.0046
4043.86,0.00786
4043.89,0.01033
4043.92,0.0093
4043.94,0.00293
4043.97,0.00191
4044,0.00978
4044.03,0.02225
4044.06,0.03586
4044.08,0.04447
4044.11,0.03459
4044.17,0.02383
4044.19,0.01636
4044.22,0.01085
4044.25,0.00692
4044.28,0.00548
4044.39,2.96E-04
4044.42,0
4044.44,0
4045,0
4045.03,0
4045.06,2.81E-04
4045.17,0.00394
4045.22,0.01051
4045.25,0.0166
4045.28,0.01788
4045.31,0.01521
4045.34,0.01173
4045.36,0.00941
4045.39,0.00773
4045.42,0.00526
4045.45,0.00235
4045.56,2.22E-04
4045.59,3.70E-05
4045.67,0.00108
4045.73,0.00399
4045.75,0.00709
4045.78,0.00846
4045.81,0.00589
4045.84,0.0027
4045.86,1.90E-04
4045.95,1.92E-04
4045.98,0
4046,0
4046.7,0
4046.73,0
4046.76,9.61E-05
4046.87,0.00143
4046.92,0.00349
4046.95,0.00533
4046.98,0.00504
4047.01,0.00309
4047.03,0.00116
4047.15,0.00102
4047.17,0.0022
4047.2,0.00324
4047.23,0.00288
4047.26,0.0017
4047.29,5.32E-04
4047.4,2.96E-05
4047.42,0
4047.45,0
4049.4,0
4049.43,0
4049.46,1.33E-04
4049.54,1.28E-04
4049.57,0.00187
4049.63,0.00409
4049.65,0.00589
4049.68,0.00495
4049.71,0.00279
4049.74,7.65E-04
4049.82,5.91E-05
4049.85,2.96E-05
4049.93,7.06E-04
4049.99,0.0024
4050.02,0.00415
4050.04,0.0048
4050.07,0.00329
4050.1,0.00147
4050.13,6.84E-05
4050.21,1.04E-04
4050.24,0
4050.27,0
4050.38,0
4050.41,0
4050.43,2.59E-04
4050.52,3.51E-04
4050.55,0.00358
4050.6,0.00758
4050.63,0.01071
4050.66,0.00861
4050.68,0.00469
4050.71,0.00112
4050.8,1.26E-04
4050.82,4.44E-05
4050.85,0
4050.88,0
4050.96,0
4050.99,0
4051.02,8.13E-05
4051.13,0.00122
4051.19,0.00299
4051.21,0.00459
4051.24,0.00437
4051.27,0.00269
4051.3,9.61E-04
4051.41,5.91E-05
4051.44,0
4051.46,0
4051.69,0
4051.72,0
4051.74,6.65E-05
4051.83,2.22E-05
4051.85,9.58E-04
4051.91,0.00222
4051.94,0.00327
4051.97,0.00251
4051.99,0.00138
4052.02,0.00102
4052.05,0.00171
4052.08,0.0031
4052.11,0.00411
4052.13,0.00292
4052.16,0.00134
4052.19,1.09E-04
4052.27,9.61E-05
4052.3,0
4052.33,0
4053.08,0
4053.11,0
4053.14,6.65E-05
4053.22,2.22E-05
4053.25,9.58E-04
4053.3,0.0022
4053.33,0.00324
4053.36,0.00288
4053.39,0.0017
4053.42,5.32E-04
4053.53,2.96E-05
4053.55,0
4053.58,0
4054.78,0
4054.81,0
4054.84,3.70E-05
4054.87,7.39E-05
4054.95,8.69E-04
4055,0.00349
4055.03,0.00635
4055.06,0.00779
4055.09,0.00549
4055.12,0.00257
4055.14,2.31E-04
4055.23,1.85E-04
4055.26,0
4055.28,0
4055.81,0
4055.84,0
4055.87,6.51E-04
4055.95,7.19E-04
4055.98,0.0091
4056.04,0.01966
4056.06,0.0281
4056.09,0.02327
4056.12,0.01297
4056.15,0.0034
4056.23,1.85E-04
4056.26,1.55E-04
4056.29,0
4056.31,0
4057.29,0
4057.32,0
4057.35,3.70E-05
4057.46,6.76E-04
4057.51,0.0022
4057.54,0.00375
4057.57,0.00426
4057.6,0.00289
4057.63,0.00127
4057.65,3.88E-05
4057.74,8.87E-05
4057.77,0
4057.79,0
4057.88,0
4057.91,0
4057.93,9.61E-05
4058.02,1.92E-04
4058.04,0.0013
4058.1,0.00259
4058.13,0.00353
